"Species","trait_name","value"
"Acacia cardiophylla","description","A prostrate form of Wyalong wattle, Gold Lace is a dense growing ground covering shrub studded with lightly perfumed golden ball flowers in late winter to early spring. It is also suited to standardising, where it will cascade, and the stems develop an interesting twisted and sculptural growth. It has attractive grey green ferny foliage. It is adaptable to most soils as long as it has reasonable drainage, and can take dry to moist conditions. Likes a sunny position, and can handle light frosts."
"Acacia wardellii","Scientific Name","Acacia wardellii"
"Acacia wardellii","Family","Fabaceae"
"Acacia wardellii","Common Name","Wattle"
"Acacia wardellii","Plant Type","Small tree, Large shrub"
"Acacia wardellii","Height","2 ~ 4 metres"
"Acacia wardellii","Width","1 ~ 3 metre"
"Acacia wardellii","Flower Colour","Yellow"
"Acacia wardellii","Flowering Time","Spring"
"Acacia wardellii","Ph Level","Acid, Neutral"
"Acacia wardellii","Soil Type","Sandy, Sandy loam, Poor soil"
"Acacia wardellii","Plant Environment","Low maintenance garden"
"Acacia wardellii","Climate Zone","Sub-tropical, Warm temperate, Cool temperate, Mediterranean"
"Acacia wardellii","Light","Sunny"
"Acacia wardellii","Growth Habit","Evergreen, Open foliage"
"Acacia wardellii","Lifespan","Perennial, Short lived"
"Acacia wardellii","Soil Moisture","Well-drained"
"Acacia wardellii","Propagation Method","Seed"
"Acacia wardellii","Frost Tolerance","Tolerates light frost"
"Acacia wardellii","Plant Usage","Screen, Windbreak"
"Acacia wardellii","Special Uses","Erosion control, Fast growing"
"Acacia wardellii","Attracts Wildlife","Bees, Butterflies"
"Acacia wardellii","description","Acacia wardellii is a medium sized shrub, growing to a small tree, with a white or silvery coloured trunk. It has an open habit and is quite graceful as an ornamental, well suited to inland areas and has been cultivated from Brisbane to Melbourne.
A well-drained, sunny position is ideal.
While borers can reduce the life span, propagating seedlings will maintain this plant in the garden."
"Acacia triptera","Scientific Name","Acacia triptera"
"Acacia triptera","Family","Fabaceae"
"Acacia triptera","Common Name","Wattle"
"Acacia triptera","Plant Type","Small shrub, Large shrub"
"Acacia triptera","Height","1 ~ 3 metre"
"Acacia triptera","Width","1 ~ 5 metre"
"Acacia triptera","Flower Colour","Yellow"
"Acacia triptera","Flowering Time","Spring"
"Acacia triptera","Ph Level","Acid, Neutral"
"Acacia triptera","Soil Type","Sandy, Loamy, Sandy loam, Poor soil"
"Acacia triptera","Plant Environment","Low maintenance garden, Cold climate"
"Acacia triptera","Climate Zone","Warm temperate, Cool temperate, Mediterranean, Cool"
"Acacia triptera","Light","Sunny, Light shade"
"Acacia triptera","Planting Season","Spring"
"Acacia triptera","Growth Habit","Evergreen, Spreading, Weeping"
"Acacia triptera","Lifespan","Perennial, Short lived"
"Acacia triptera","Soil Moisture","Dry, Well-drained"
"Acacia triptera","Propagation Method","Seed"
"Acacia triptera","Frost Tolerance","Tolerates light frost"
"Acacia triptera","Plant Usage","Screen, Windbreak, Attractive foliage"
"Acacia triptera","Special Uses","Cut flower, Erosion control"
"Acacia triptera","Attracts Wildlife","Bees, Seed eating birds"
"Acacia triptera","description","Acacia triptera (meaning three wings) is a hardy species, putting on an impressive display of soft, golden yellow flowers in the spring. A graceful looking shrub, it has stiff bluish-grey phyllodes that are quite ornamental.
It must be watered until it is established, but thereafter it is fairly hardy to dry and wet periods. It can have an upright habit, or grow low and spreading. Needs very well drained soil."
"Acacia terminalis","Scientific Name","Acacia terminalis"
"Acacia terminalis","Family","Fabaceae"
"Acacia terminalis","Common Name","Wattle"
"Acacia terminalis","Plant Type","Small tree, Small shrub, Large shrub"
"Acacia terminalis","Height","1.5 ~ 6 metres"
"Acacia terminalis","Width","1 ~ 1.5 metre"
"Acacia terminalis","Flower Colour","Cream, Yellow"
"Acacia terminalis","Flowering Time","Spring, Autumn, Winter"
"Acacia terminalis","Ph Level","Acid, Neutral, Alkaline"
"Acacia terminalis","Soil Type","Sandy, Loamy, Sandy loam, Clay loam, Potting mix, Poor soil"
"Acacia terminalis","Plant Environment","Low maintenance garden, Flower garden, Coastal garden, Drought resistant"
"Acacia terminalis","Climate Zone","Warm temperate, Cool temperate, Mediterranean, Cool"
"Acacia terminalis","Light","Sunny, Light shade"
"Acacia terminalis","Planting Season","Spring"
"Acacia terminalis","Growth Habit","Evergreen, Open foliage, Spreading"
"Acacia terminalis","Lifespan","Perennial"
"Acacia terminalis","Soil Moisture","Well-drained, Moist moderate drainage"
"Acacia terminalis","Propagation Method","Seed"
"Acacia terminalis","Frost Tolerance","Tolerates light frost"
"Acacia terminalis","Plant Usage","Feature plant, Screen, Windbreak"
"Acacia terminalis","Special Uses","Street tree, Erosion control, Fast growing"
"Acacia terminalis","Attracts Wildlife","Bees, Seed eating birds, Butterflies, Other insects"
"Acacia terminalis","description","This Acacia makes an excellent choice for the flower garden, as it has an unusually long flowering time through the colder months. It is well named, as it brings a bit of sunshine to gardens in the cooler months.  Native to the eastern states of Australia, it grows to a shrub or small tree with an open habit and will grow easily in a range of conditions. Flower colour varies considerably, from very pale to vibrant yellow.
It is a low maintenance plant, likes a sunny and fairly well drained position, and can adapt to most soils. Can be pruned to promote a denser habit. A good pioneer plant for new gardens as it grows quickly and gives some shelter to your slower growing shrubs and trees."
"Acacia restiacea","Scientific Name","Acacia restiacea"
"Acacia restiacea","Family","Fabaceae"
"Acacia restiacea","Common Name","Wattle"
"Acacia restiacea","Plant Type","Small shrub, Ground cover"
"Acacia restiacea","Height","0.5 ~ 1 metre"
"Acacia restiacea","Width","1 ~ 2 metre"
"Acacia restiacea","Flower Colour","Yellow"
"Acacia restiacea","Flowering Time","Spring"
"Acacia restiacea","Ph Level","Acid, Neutral"
"Acacia restiacea","Soil Type","Sandy, Loamy, Sandy loam, Clay loam, Poor soil"
"Acacia restiacea","Plant Environment","Low maintenance garden, Cottage garden, Coastal garden, Drought resistant"
"Acacia restiacea","Climate Zone","Warm temperate, Cool temperate, Mediterranean"
"Acacia restiacea","Light","Sunny, Light shade"
"Acacia restiacea","Planting Season","Spring"
"Acacia restiacea","Growth Habit","Evergreen, Spreading, Mound-shaped"
"Acacia restiacea","Lifespan","Perennial, Short lived"
"Acacia restiacea","Soil Moisture","Well-drained"
"Acacia restiacea","Propagation Method","Seed"
"Acacia restiacea","Frost Tolerance","Tolerates light frost"
"Acacia restiacea","Special Uses","Cut flower, Erosion control, Fast growing, Playground friendly"
"Acacia restiacea","Attracts Wildlife","Bees, Seed eating birds"
"Acacia restiacea","description","The name ‘restiacea’ means rush-like, and describes the appearance of the branches on this Acacia. It is a dwarf shrub from southern WA that can be spreading or erect, pruning will encourage a bushier habit if desired. Produces ball shaped golden flowers in spring. The interesting slender branches would make this a great textural addition to the garden.
This Acacia can tolerate long periods of moisture or dryness, and needs part or full sun."
"Acacia resinicostata","Scientific Name","Acacia resinicostata"
"Acacia resinicostata","Family","Fabaceae"
"Acacia resinicostata","Common Name","Wattle"
"Acacia resinicostata","Plant Type","Small shrub, Large shrub"
"Acacia resinicostata","Height","2 ~ 3 metres"
"Acacia resinicostata","Width","2 ~ 3 metres"
"Acacia resinicostata","Flower Colour","Yellow"
"Acacia resinicostata","Flowering Time","Spring, Winter"
"Acacia resinicostata","Ph Level","Acid, Neutral"
"Acacia resinicostata","Soil Type","Sandy, Sandy loam, Poor soil"
"Acacia resinicostata","Plant Environment","Low maintenance garden, Drought resistant"
"Acacia resinicostata","Climate Zone","Sub-tropical, Warm temperate, Cool temperate, Mediterranean"
"Acacia resinicostata","Light","Sunny"
"Acacia resinicostata","Planting Season","Spring"
"Acacia resinicostata","Growth Habit","Evergreen, Dense foliage"
"Acacia resinicostata","Lifespan","Perennial, Short lived"
"Acacia resinicostata","Soil Moisture","Well-drained"
"Acacia resinicostata","Propagation Method","Seed"
"Acacia resinicostata","Frost Tolerance","Tolerates light frost"
"Acacia resinicostata","Plant Usage","Screen, Windbreak"
"Acacia resinicostata","Special Uses","Erosion control, Fast growing, Playground friendly"
"Acacia resinicostata","Attracts Wildlife","Bees, Seed eating birds"
"Acacia resinicostata","description","This Acacia grows to a medium-sized, round bushy shrub, flowering from late winter to spring. The name ‘resinicostata’ refers to resinous veins found on the branches.
It is native to south-eastern Queensland, growing in sandstone country.
For optimum cultivation, full sun and well drained soil are recommended."
"Acacia pulchella","Scientific Name","Acacia pulchella"
"Acacia pulchella","Family","Fabaceae"
"Acacia pulchella","Common Name","Wattle"
"Acacia pulchella","Other Common Names","Western Prickly Moses Wattle"
"Acacia pulchella","Plant Type","Small shrub"
"Acacia pulchella","Height","0.5 ~ 1.5 metres"
"Acacia pulchella","Width","1 ~ 2 metre"
"Acacia pulchella","Flower Colour","Yellow"
"Acacia pulchella","Flowering Time","Spring, Winter"
"Acacia pulchella","Ph Level","Acid, Neutral, Alkaline"
"Acacia pulchella","Soil Type","Sandy, Sandy loam, Clay loam, Saline, Poor soil"
"Acacia pulchella","Plant Environment","Low maintenance garden, Coastal garden, Drought resistant"
"Acacia pulchella","Climate Zone","Warm temperate, Cool temperate, Mediterranean"
"Acacia pulchella","Light","Sunny, Light shade, Half shade"
"Acacia pulchella","Planting Season","Spring"
"Acacia pulchella","Growth Habit","Evergreen, Open foliage, Spreading, Mound-shaped"
"Acacia pulchella","Lifespan","Perennial"
"Acacia pulchella","Soil Moisture","Dry, Well-drained"
"Acacia pulchella","Propagation Method","Seed"
"Acacia pulchella","Frost Tolerance","Tolerates light frost"
"Acacia pulchella","Plant Usage","Screen, Windbreak"
"Acacia pulchella","Special Uses","Erosion control, Bird nesting plant, Pollution tolerant, Fast growing"
"Acacia pulchella","Attracts Wildlife","Bees, Seed eating birds, Butterflies, Other insects"
"Acacia pulchella","description","This species makes a lovely ornamental for the garden, as it flowers in abundance from winter through to mid-spring with golden yellow blooms. It is native to Western Australia, in the areas around Perth and Albany.
The prickly nature of this shrub means it is ideal as a barrier to shield areas from human and animal intrusion, and is a good nesting shrub for small birds.
Well known in cultivation, it will grow in a range of soil and light conditions, from dappled shade to full sun. To encourage longer life in this Acacia, it is advised to prune after flowering."
"Acacia pravissima","Scientific Name","Acacia pravissima"
"Acacia pravissima","Family","Fabaceae"
"Acacia pravissima","Common Name","Wattle"
"Acacia pravissima","Other Common Names","Ovens Wattle"
"Acacia pravissima","Plant Type","Small tree, Large shrub"
"Acacia pravissima","Height","4 ~ 8 metres"
"Acacia pravissima","Width","4 ~ 8 metres"
"Acacia pravissima","Flower Colour","Yellow"
"Acacia pravissima","Flowering Time","Spring, Winter"
"Acacia pravissima","Ph Level","Acid, Neutral, Alkaline"
"Acacia pravissima","Soil Type","Sandy, Loamy, Sandy loam, Clay loam"
"Acacia pravissima","Plant Environment","Low maintenance garden, Flower garden, Cold climate, Coastal garden, Drought resistant"
"Acacia pravissima","Climate Zone","Cool temperate, Mediterranean, Cool, Semi-arid"
"Acacia pravissima","Light","Sunny, Light shade"
"Acacia pravissima","Planting Season","Spring"
"Acacia pravissima","Growth Habit","Evergreen, Dense foliage, Open foliage, Spreading, Mound-shaped"
"Acacia pravissima","Lifespan","Perennial"
"Acacia pravissima","Soil Moisture","Dry, Well-drained"
"Acacia pravissima","Propagation Method","Seed"
"Acacia pravissima","Frost Tolerance","Tolerates light frost"
"Acacia pravissima","Plant Usage","Screen, Windbreak"
"Acacia pravissima","Special Uses","Erosion control, Pollution tolerant, Fast growing"
"Acacia pravissima","Attracts Wildlife","Bees, Seed eating birds, Butterflies, Other insects"
"Acacia pravissima","description","Acacia pravissima grows to a large shrub or small tree, and has been known to grow in unusual shapes and forms, providing interest in the garden as well as delightful golden blooms from winter to spring. The flowers are lightly scented.
It can be used as a windbreak or for shelter also. Pruning after flowering is necessary to keep a denser habit.
It can tolerate long dry periods and also withstands frosts. It can also tolerate some exposure to coastal conditions. Preferably planted in a full sun or part sun position, Ovens Wattle can also grow in dappled shade. This species has been cultivated successfully in Oregon, USA and south-eastern UK."
"Acacia oxycedrus","Scientific Name","Acacia oxycedrus"
"Acacia oxycedrus","Family","Fabaceae"
"Acacia oxycedrus","Common Name","Wattle"
"Acacia oxycedrus","Other Common Names","Spike Wattle"
"Acacia oxycedrus","Plant Type","Small tree, Small shrub, Large shrub"
"Acacia oxycedrus","Height","2 ~ 10 metres"
"Acacia oxycedrus","Width","2 ~ 5 metres"
"Acacia oxycedrus","Flower Colour","Yellow"
"Acacia oxycedrus","Flowering Time","Spring, Winter"
"Acacia oxycedrus","Ph Level","Acid, Neutral, Alkaline"
"Acacia oxycedrus","Soil Type","Sandy, Loamy, Sandy loam, Clay loam, Poor soil"
"Acacia oxycedrus","Plant Environment","Low maintenance garden, Cold climate, Drought resistant"
"Acacia oxycedrus","Climate Zone","Warm temperate, Cool temperate, Mediterranean, Cool"
"Acacia oxycedrus","Light","Sunny, Light shade"
"Acacia oxycedrus","Planting Season","Spring"
"Acacia oxycedrus","Growth Habit","Evergreen, Dense foliage"
"Acacia oxycedrus","Lifespan","Perennial"
"Acacia oxycedrus","Soil Moisture","Well-drained, Moist moderate drainage"
"Acacia oxycedrus","Propagation Method","Seed"
"Acacia oxycedrus","Frost Tolerance","Tolerates light frost"
"Acacia oxycedrus","Plant Usage","Screen, Windbreak"
"Acacia oxycedrus","Special Uses","Street tree, Erosion control, Bird nesting plant, Pollution tolerant, Fast growing"
"Acacia oxycedrus","Attracts Wildlife","Bees, Butterflies, Other insects"
"Acacia oxycedrus","description","A useful and highly adaptable plant, the Spike Wattle is an interesting ornamental, and its dense,  prickly and bushy habit makes it highly functional as part of a windbreak or as a hedge to protect areas from animal or human intrusion. Produces rod-shaped, pale yellow blooms from winter through to late spring.
Acacia oxycedrus can be grown in a range of soil types, including in damp conditions, and is frost tolerant. Prefers full sun, although grows well in part sun and dappled shade as well."
"Acacia merinthophora","Scientific Name","Acacia merinthophora"
"Acacia merinthophora","Family","Fabaceae"
"Acacia merinthophora","Common Name","Wattle"
"Acacia merinthophora","Plant Type","Small tree, Small shrub, Large shrub"
"Acacia merinthophora","Height","3 ~ 4 metres"
"Acacia merinthophora","Width","3 ~ 4 metres"
"Acacia merinthophora","Flower Colour","Yellow"
"Acacia merinthophora","Flowering Time","Spring, Autumn, Winter"
"Acacia merinthophora","Ph Level","Acid, Neutral, Alkaline"
"Acacia merinthophora","Soil Type","Sandy, Loamy, Sandy loam, Poor soil"
"Acacia merinthophora","Plant Environment","Low maintenance garden, Coastal garden, Drought resistant"
"Acacia merinthophora","Climate Zone","Warm temperate, Cool temperate, Mediterranean"
"Acacia merinthophora","Light","Sunny, Light shade"
"Acacia merinthophora","Planting Season","Spring"
"Acacia merinthophora","Growth Habit","Evergreen, Open foliage"
"Acacia merinthophora","Lifespan","Perennial"
"Acacia merinthophora","Soil Moisture","Well-drained"
"Acacia merinthophora","Propagation Method","Seed"
"Acacia merinthophora","Frost Tolerance","Tolerates light frost"
"Acacia merinthophora","Plant Usage","Screen, Windbreak"
"Acacia merinthophora","Special Uses","Cut flower, Erosion control, Pollution tolerant, Fast growing"
"Acacia merinthophora","Attracts Wildlife","Bees, Seed eating birds, Butterflies, Other insects"
"Acacia merinthophora","description","A beautiful ornamental species, Acacia merinthophora has long, thin phyllodes that give it a particularly graceful appearance. Somewhat uncommon in cultivation, it definitely deserves to be grown more widely. The slender leaves are contrasted with plump, yellow blossoms during the flowering period, from late autumn to early spring. The attractive branches are well suited to floral arrangements.
This Western Australian species has been shown to adapt well to more humid east coast environments. It needs light to medium, well-drained soil and preferably full sun, but can tolerate light shade. Tolerant of light to moderate frosts, and once it is well established it can survive long dry periods."
"Acacia macradenia","Scientific Name","Acacia macradenia"
"Acacia macradenia","Family","Fabaceae"
"Acacia macradenia","Common Name","Wattle"
"Acacia macradenia","Other Common Names","Zig Zag Wattle"
"Acacia macradenia","Plant Type","Small tree, Large shrub"
"Acacia macradenia","Height","3 ~ 4 metres"
"Acacia macradenia","Width","2 ~ 3 metres"
"Acacia macradenia","Flower Colour","Yellow"
"Acacia macradenia","Flowering Time","Winter"
"Acacia macradenia","Ph Level","Acid, Neutral"
"Acacia macradenia","Soil Type","Sandy, Sandy loam, Clay loam"
"Acacia macradenia","Plant Environment","Low maintenance garden, Coastal garden"
"Acacia macradenia","Climate Zone","Warm temperate, Cool temperate, Mediterranean, Semi-arid"
"Acacia macradenia","Light","Sunny, Light shade"
"Acacia macradenia","Planting Season","Spring"
"Acacia macradenia","Growth Habit","Evergreen, Spreading"
"Acacia macradenia","Lifespan","Perennial, Short lived"
"Acacia macradenia","Soil Moisture","Well-drained"
"Acacia macradenia","Propagation Method","Seed"
"Acacia macradenia","Frost Tolerance","Tolerates light frost"
"Acacia macradenia","Plant Usage","Feature plant, Screen, Windbreak"
"Acacia macradenia","Special Uses","Erosion control, Pollution tolerant, Fast growing"
"Acacia macradenia","Attracts Wildlife","Bees, Seed eating birds, Butterflies, Other insects"
"Acacia macradenia","description","A winter flowering wattle, Acacia macradenia is an attractive medium shrub with bright yellow flowers and zig-zagged branchlets, giving it an interesting architectural form.
This wattle is a hardy plant that will grow particularly well in warm dry areas, although it has been successfully cultivated in southern areas as far as Melbourne, but it will need a warm place. It is somewhat tolerant of frosts, however harsh winters in inland and southern areas can kill the plant. Grows best in a well-drained soil in sunny or lightly shaded positions.
Best grown away from native bushland because it does pose a risk of becoming a weed outside of its native range (inland southern and central Queensland)."
"Acacia linifolia","Scientific Name","Acacia linifolia"
"Acacia linifolia","Family","Fabaceae"
"Acacia linifolia","Common Name","Wattle"
"Acacia linifolia","Other Common Names","Flax Wattle"
"Acacia linifolia","Plant Type","Small tree, Large shrub"
"Acacia linifolia","Height","2 ~ 5 metres"
"Acacia linifolia","Width","2 ~ 4 metres"
"Acacia linifolia","Flower Colour","Cream"
"Acacia linifolia","Flowering Time","Summer"
"Acacia linifolia","Ph Level","Acid, Neutral"
"Acacia linifolia","Soil Type","Clay, Loamy, Sandy loam, Clay loam"
"Acacia linifolia","Plant Environment","Low maintenance garden, Coastal garden"
"Acacia linifolia","Climate Zone","Warm temperate, Cool temperate, Mediterranean"
"Acacia linifolia","Light","Light shade, Half shade"
"Acacia linifolia","Planting Season","Spring"
"Acacia linifolia","Growth Habit","Evergreen, Open foliage, Spreading, Weeping"
"Acacia linifolia","Lifespan","Perennial, Short lived"
"Acacia linifolia","Soil Moisture","Well-drained, Moist moderate drainage, Needs regular watering"
"Acacia linifolia","Propagation Method","Seed"
"Acacia linifolia","Frost Tolerance","Tolerates light frost"
"Acacia linifolia","Plant Usage","Screen, Windbreak"
"Acacia linifolia","Special Uses","Erosion control, Bird nesting plant, Pollution tolerant, Fast growing"
"Acacia linifolia","Attracts Wildlife","Bees, Seed eating birds, Butterflies, Other insects"
"Acacia linifolia","description","A graceful shrub with cream coloured flowers in summer and often second flowering in winter, grows around the Sydney region, and can be seen in Lane Cove National Park, where it takes over disturbed ground along roadsides. Acacia linifolia has fine leaves and a slight weeping habit, and can provide a light screen in the garden. It prefers light shade or part sun, although can be grown in full sun as well, and is not tolerant of dry soils. The Flax Wattle can be grown in medium to heavy soil types."
"Acacia lineata","Scientific Name","Acacia lineata"
"Acacia lineata","Family","Fabaceae"
"Acacia lineata","Common Name","Wattle"
"Acacia lineata","Other Common Names","Streaked Wattle"
"Acacia lineata","Plant Type","Small shrub, Large shrub"
"Acacia lineata","Height","1 ~ 3 metre"
"Acacia lineata","Width","1 ~ 3 metre"
"Acacia lineata","Flower Colour","Yellow"
"Acacia lineata","Flowering Time","Spring"
"Acacia lineata","Ph Level","Acid, Neutral"
"Acacia lineata","Soil Type","Sandy, Loamy, Sandy loam, Poor soil"
