"","List_source","date_sourced","species","newspecies","species_number","multiple_forms","study","trait_index","trait_name_original","trait_name","value_original","value"
"20","Scrape","4/04/2019","Ilex opaca","Ilex opaca","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"21","Scrape","4/04/2019","Carpinus caroliniana","Carpinus caroliniana","","","pollenlibrary","47","risk","risk","moderateallergen","moderateallergen"
"22","Scrape","4/04/2019","Sorbus americana","Sorbus americana","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"23","Scrape","4/04/2019","Prunus americana","Prunus americana","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"24","Scrape","4/04/2019","Prosopis pubescens","Prosopis pubescens","","","pollenlibrary","47","risk","risk","moderateallergen","moderateallergen"
"25","Scrape","4/04/2019","Littorella uniflora","Littorella uniflora","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"26","Scrape","4/04/2019","Platanus occidentalis","Platanus occidentalis","","","pollenlibrary","47","risk","risk","moderateallergen","moderateallergen"
"27","Scrape","4/04/2019","Poa annua","Poa annua","","","pollenlibrary","47","risk","risk","moderateallergen","moderateallergen"
"28","Scrape","4/04/2019","Plantago bigelovii","Plantago bigelovii","","","pollenlibrary","47","risk","risk","moderateallergen","moderateallergen"
"29","Scrape","4/04/2019","Iva annua","Iva annua","","","pollenlibrary","47","risk","risk","severeallergen","severeallergen"
"30","Scrape","4/04/2019","Mercurialis annua","Mercurialis annua","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"31","Scrape","4/04/2019","Parthenice mollis","Parthenice mollis","","","pollenlibrary","47","risk","risk","moderateallergen","moderateallergen"
"32","Scrape","4/04/2019","Ambrosia artemisiifolia","Ambrosia artemisiifolia","","","pollenlibrary","47","risk","risk","severeallergen","severeallergen"
"33","Scrape","4/04/2019","Suaeda linearis","Suaeda linearis","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"34","Scrape","4/04/2019","Artemisia annua","Artemisia annua","","","pollenlibrary","47","risk","risk","severeallergen","severeallergen"
"35","Scrape","4/04/2019","Prunus armeniaca","Prunus armeniaca","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"36","Scrape","4/04/2019","Acaena pinnatifida","Acaena pinnatifida","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"37","Scrape","4/04/2019","Alnus oblongifolia","Alnus oblongifolia","","","pollenlibrary","47","risk","risk","moderateallergen","moderateallergen"
"38","Scrape","4/04/2019","Cupressus arizonica","Cupressus arizonica","","","pollenlibrary","47","risk","risk","severeallergen","severeallergen"
"39","Scrape","4/04/2019","Tidestromia oblongifolia","Tidestromia oblongifolia","","","pollenlibrary","47","risk","risk","moderateallergen","moderateallergen"
"40","Scrape","4/04/2019","Platanus wrightii","Platanus wrightii","","","pollenlibrary","47","risk","risk","moderateallergen","moderateallergen"
"41","Scrape","4/04/2019","Juglans major","Juglans major","","","pollenlibrary","47","risk","risk","severeallergen","severeallergen"
"42","Scrape","4/04/2019","Quercus arizonica","Quercus arizonica","","","pollenlibrary","47","risk","risk","severeallergen","severeallergen"
"43","Scrape","4/04/2019","Quercus arkansana","Quercus arkansana","","","pollenlibrary","47","risk","risk","severeallergen","severeallergen"
"44","Scrape","4/04/2019","Atriplex phyllostegia","Atriplex phyllostegia","","","pollenlibrary","47","risk","risk","severeallergen","severeallergen"
"45","Scrape","4/04/2019","Salix lasiolepis","Salix lasiolepis","","","pollenlibrary","47","risk","risk","severeallergen","severeallergen"
"46","Scrape","4/04/2019","Juniperus ashei","Juniperus ashei","","","pollenlibrary","47","risk","risk","severeallergen","severeallergen"
"47","Scrape","4/04/2019","Garrya flavescens","Garrya flavescens","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"48","Scrape","4/04/2019","Toxicodendron pubescens","Toxicodendron pubescens","","","pollenlibrary","47","risk","risk","severeallergen","severeallergen"
"49","Scrape","4/04/2019","Chamaecyparis thyoides","Chamaecyparis thyoides","","","pollenlibrary","47","risk","risk","moderateallergen","moderateallergen"
"50","Scrape","4/04/2019","Elaeagnus umbellata","Elaeagnus umbellata","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"51","Scrape","4/04/2019","Persea americana","Persea americana","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"52","Scrape","4/04/2019","Paspalum notatum","Paspalum notatum","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"53","Scrape","4/04/2019","Bromus racemosus","Bromus racemosus","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"54","Scrape","4/04/2019","Populus balsamifera","Populus balsamifera","","","pollenlibrary","47","risk","risk","moderateallergen","moderateallergen"
"55","Scrape","4/04/2019","Avena barbata","Avena barbata","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"56","Scrape","4/04/2019","Quercus sinuata","Quercus sinuata","","","pollenlibrary","47","risk","risk","severeallergen","severeallergen"
"57","Scrape","4/04/2019","Casuarina equisetifolia","Casuarina equisetifolia","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"58","Scrape","4/04/2019","Artemisia pycnocephala","Artemisia pycnocephala","","","pollenlibrary","47","risk","risk","severeallergen","severeallergen"
"59","Scrape","4/04/2019","Corylus cornuta","Corylus cornuta","","","pollenlibrary","47","risk","risk","moderateallergen","moderateallergen"
"60","Scrape","4/04/2019","Quercus ilicifolia","Quercus ilicifolia","","","pollenlibrary","47","risk","risk","severeallergen","severeallergen"
"61","Scrape","4/04/2019","Garrya fremontii","Garrya fremontii","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"62","Scrape","4/04/2019","Leymus triticoides","Leymus triticoides","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"63","Scrape","4/04/2019","Cynodon dactylon","Cynodon dactylon","","","pollenlibrary","47","risk","risk","severeallergen","severeallergen"
"64","Scrape","4/04/2019","Artemisia biennis","Artemisia biennis","","","pollenlibrary","47","risk","risk","severeallergen","severeallergen"
"65","Scrape","4/04/2019","Andropogon gerardii","Andropogon gerardii","","","pollenlibrary","47","risk","risk","moderateallergen","moderateallergen"
"66","Scrape","4/04/2019","Artemisia tridentata","Artemisia tridentata","","","pollenlibrary","47","risk","risk","severeallergen","severeallergen"
"67","Scrape","4/04/2019","Elymus multisetus","Elymus multisetus","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"68","Scrape","4/04/2019","Magnolia macrophylla","Magnolia macrophylla","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"69","Scrape","4/04/2019","Acer macrophyllum","Acer macrophyllum","","","pollenlibrary","47","risk","risk","moderateallergen","moderateallergen"
"70","Scrape","4/04/2019","Populus grandidentata","Populus grandidentata","","","pollenlibrary","47","risk","risk","moderateallergen","moderateallergen"
"71","Scrape","4/04/2019","Prunus mexicana","Prunus mexicana","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"72","Scrape","4/04/2019","Artemisia pedatifida","Artemisia pedatifida","","","pollenlibrary","47","risk","risk","severeallergen","severeallergen"
"73","Scrape","4/04/2019","Prunus emarginata","Prunus emarginata","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"74","Scrape","4/04/2019","Rumex obtusifolius","Rumex obtusifolius","","","pollenlibrary","47","risk","risk","moderateallergen","moderateallergen"
"75","Scrape","4/04/2019","Carya cordiformis","Carya cordiformis","","","pollenlibrary","47","risk","risk","severeallergen","severeallergen"
"76","Scrape","4/04/2019","Fraxinus nigra","Fraxinus nigra","","","pollenlibrary","47","risk","risk","severeallergen","severeallergen"
"77","Scrape","4/04/2019","Agrostis gigantea","Agrostis gigantea","","","pollenlibrary","47","risk","risk","severeallergen","severeallergen"
"78","Scrape","4/04/2019","Prunus serotina","Prunus serotina","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"79","Scrape","4/04/2019","Crataegus douglasii","Crataegus douglasii","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"80","Scrape","4/04/2019","Carya texana","Carya texana","","","pollenlibrary","47","risk","risk","severeallergen","severeallergen"
"81","Scrape","4/04/2019","Robinia pseudoacacia","Robinia pseudoacacia","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"82","Scrape","4/04/2019","Acer nigrum","Acer nigrum","","","pollenlibrary","47","risk","risk","moderateallergen","moderateallergen"
"83","Scrape","4/04/2019","Medicago lupulina","Medicago lupulina","","","pollenlibrary","47","risk","risk","moderateallergen","moderateallergen"
"84","Scrape","4/04/2019","Morus nigra","Morus nigra","","","pollenlibrary","47","risk","risk","severeallergen","severeallergen"
"85","Scrape","4/04/2019","Brassica nigra","Brassica nigra","","","pollenlibrary","47","risk","risk","severeallergen","severeallergen"
"86","Scrape","4/04/2019","Quercus velutina","Quercus velutina","","","pollenlibrary","47","risk","risk","severeallergen","severeallergen"
"87","Scrape","4/04/2019","Populus nigra","Populus nigra","","","pollenlibrary","47","risk","risk","moderateallergen","moderateallergen"
"88","Scrape","4/04/2019","Artemisia nova","Artemisia nova","","","pollenlibrary","47","risk","risk","severeallergen","severeallergen"
"89","Scrape","4/04/2019","Nyssa sylvatica","Nyssa sylvatica","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"90","Scrape","4/04/2019","Juglans nigra","Juglans nigra","","","pollenlibrary","47","risk","risk","severeallergen","severeallergen"
"91","Scrape","4/04/2019","Salix nigra","Salix nigra","","","pollenlibrary","47","risk","risk","severeallergen","severeallergen"
"92","Scrape","4/04/2019","Quercus marilandica","Quercus marilandica","","","pollenlibrary","47","risk","risk","severeallergen","severeallergen"
"93","Scrape","4/04/2019","Plantago rugelii","Plantago rugelii","","","pollenlibrary","47","risk","risk","moderateallergen","moderateallergen"
"94","Scrape","4/04/2019","Fraxinus quadrangulata","Fraxinus quadrangulata","","","pollenlibrary","47","risk","risk","severeallergen","severeallergen"
"95","Scrape","4/04/2019","Bouteloua gracilis","Bouteloua gracilis","","","pollenlibrary","47","risk","risk","moderateallergen","moderateallergen"
"96","Scrape","4/04/2019","Quercus douglasii","Quercus douglasii","","","pollenlibrary","47","risk","risk","severeallergen","severeallergen"
"97","Scrape","4/04/2019","Parkinsonia florida","Parkinsonia florida","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"98","Scrape","4/04/2019","Ceanothus thyrsiflorus","Ceanothus thyrsiflorus","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"99","Scrape","4/04/2019","Pseudoroegneria spicata","Pseudoroegneria spicata","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"100","Scrape","4/04/2019","Quercus incana","Quercus incana","","","pollenlibrary","47","risk","risk","severeallergen","severeallergen"
"101","Scrape","4/04/2019","Calamagrostis canadensis","Calamagrostis canadensis","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"102","Scrape","4/04/2019","Betula pumila","Betula pumila","","","pollenlibrary","47","risk","risk","moderateallergen","moderateallergen"
"103","Scrape","4/04/2019","Ligustrum obtusifolium","Ligustrum obtusifolium","","","pollenlibrary","47","risk","risk","severeallergen","severeallergen"
"104","Scrape","4/04/2019","Acer negundo","Acer negundo","","","pollenlibrary","47","risk","risk","severeallergen","severeallergen"
"105","Scrape","4/04/2019","Atriplex serenana","Atriplex serenana","","","pollenlibrary","47","risk","risk","severeallergen","severeallergen"
"106","Scrape","4/04/2019","Pyrus calleryana","Pyrus calleryana","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"107","Scrape","4/04/2019","Schinus terebinthifolius","Schinus terebinthifolius","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"108","Scrape","4/04/2019","Triticum aestivum","Triticum aestivum","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"109","Scrape","4/04/2019","Spiraea prunifolia","Spiraea prunifolia","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"110","Scrape","4/04/2019","Typha latifolia","Typha latifolia","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"111","Scrape","4/04/2019","Alnus serrulata","Alnus serrulata","","","pollenlibrary","47","risk","risk","moderateallergen","moderateallergen"
"112","Scrape","4/04/2019","Sorghum bicolor","Sorghum bicolor","","","pollenlibrary","47","risk","risk","moderateallergen","moderateallergen"
"113","Scrape","4/04/2019","Andropogon virginicus","Andropogon virginicus","","","pollenlibrary","47","risk","risk","moderateallergen","moderateallergen"
"114","Scrape","4/04/2019","Picrothamnus desertorum","Picrothamnus desertorum","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"115","Scrape","4/04/2019","Urtica urens","Urtica urens","","","pollenlibrary","47","risk","risk","moderateallergen","moderateallergen"
"116","Scrape","4/04/2019","Quercus macrocarpa","Quercus macrocarpa","","","pollenlibrary","47","risk","risk","severeallergen","severeallergen"
"117","Scrape","4/04/2019","Brassica oleracea","Brassica oleracea","","","pollenlibrary","47","risk","risk","severeallergen","severeallergen"
"118","Scrape","4/04/2019","Sabal palmetto","Sabal palmetto","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"119","Scrape","4/04/2019","Amaranthus californicus","Amaranthus californicus","","","pollenlibrary","47","risk","risk","moderateallergen","moderateallergen"
"120","Scrape","4/04/2019","Quercus kelloggii","Quercus kelloggii","","","pollenlibrary","47","risk","risk","severeallergen","severeallergen"
"121","Scrape","4/04/2019","Bromus carinatus","Bromus carinatus","","","pollenlibrary","47","risk","risk","moderateallergen","moderateallergen"
"122","Scrape","4/04/2019","Washingtonia filifera","Washingtonia filifera","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"123","Scrape","4/04/2019","Juniperus californica","Juniperus californica","","","pollenlibrary","47","risk","risk","moderateallergen","moderateallergen"
"124","Scrape","4/04/2019","Ligustrum ovalifolium","Ligustrum ovalifolium","","","pollenlibrary","47","risk","risk","severeallergen","severeallergen"
"125","Scrape","4/04/2019","Platanus racemosa","Platanus racemosa","","","pollenlibrary","47","risk","risk","moderateallergen","moderateallergen"
"126","Scrape","4/04/2019","Umbellularia californica","Umbellularia californica","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"127","Scrape","4/04/2019","Eschscholzia californica","Eschscholzia californica","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"128","Scrape","4/04/2019","Cinnamomum camphora","Cinnamomum camphora","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"129","Scrape","4/04/2019","Pilea pumila","Pilea pumila","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"130","Scrape","4/04/2019","Solidago canadensis","Solidago canadensis","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"131","Scrape","4/04/2019","Prunus nigra","Prunus nigra","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"132","Scrape","4/04/2019","Amelanchier canadensis","Amelanchier canadensis","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"133","Scrape","4/04/2019","Phoenix canariensis","Phoenix canariensis","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"134","Scrape","4/04/2019","Quercus chrysolepis","Quercus chrysolepis","","","pollenlibrary","47","risk","risk","severeallergen","severeallergen"
"135","Scrape","4/04/2019","Acer grandidentatum","Acer grandidentatum","","","pollenlibrary","47","risk","risk","moderateallergen","moderateallergen"
"136","Scrape","4/04/2019","Iva xanthifolia","Iva xanthifolia","","","pollenlibrary","47","risk","risk","severeallergen","severeallergen"
"137","Scrape","4/04/2019","Fraxinus caroliniana","Fraxinus caroliniana","","","pollenlibrary","47","risk","risk","severeallergen","severeallergen"
"138","Scrape","4/04/2019","Ilex ambigua","Ilex ambigua","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"139","Scrape","4/04/2019","Prunus caroliniana","Prunus caroliniana","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"140","Scrape","4/04/2019","Salix caroliniana","Salix caroliniana","","","pollenlibrary","47","risk","risk","severeallergen","severeallergen"
"141","Scrape","4/04/2019","Artemisia carruthii","Artemisia carruthii","","","pollenlibrary","47","risk","risk","severeallergen","severeallergen"
"142","Scrape","4/04/2019","Anacardium occidentale","Anacardium occidentale","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"143","Scrape","4/04/2019","Ricinus communis","Ricinus communis","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"144","Scrape","4/04/2019","Pithecellobium unguis-cati","Pithecellobium unguis-cati","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"145","Scrape","4/04/2019","Mimosa aculeaticarpa","Mimosa aculeaticarpa","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"146","Scrape","4/04/2019","Atriplex polycarpa","Atriplex polycarpa","","","pollenlibrary","47","risk","risk","severeallergen","severeallergen"
"147","Scrape","4/04/2019","Ulmus crassifolia","Ulmus crassifolia","","","pollenlibrary","47","risk","risk","moderateallergen","moderateallergen"
"148","Scrape","4/04/2019","Quercus chapmanii","Quercus chapmanii","","","pollenlibrary","47","risk","risk","severeallergen","severeallergen"
"149","Scrape","4/04/2019","Bromus tectorum","Bromus tectorum","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"150","Scrape","4/04/2019","Quercus prinus","Quercus prinus","","","pollenlibrary","47","risk","risk","severeallergen","severeallergen"
"151","Scrape","4/04/2019","Prunus angustifolia","Prunus angustifolia","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"152","Scrape","4/04/2019","Sarcocornia perennis","Sarcocornia perennis","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"153","Scrape","4/04/2019","Cichorium intybus","Cichorium intybus","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"154","Scrape","4/04/2019","Callistephus chinensis","Callistephus chinensis","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"155","Scrape","4/04/2019","Castanea mollissima","Castanea mollissima","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"156","Scrape","4/04/2019","Ulmus parvifolia","Ulmus parvifolia","","","pollenlibrary","47","risk","risk","moderateallergen","moderateallergen"
"157","Scrape","4/04/2019","Ilex cornuta","Ilex cornuta","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"158","Scrape","4/04/2019","Brassica juncea","Brassica juncea","","","pollenlibrary","47","risk","risk","severeallergen","severeallergen"
"159","Scrape","4/04/2019","Ligustrum sinense","Ligustrum sinense","","","pollenlibrary","47","risk","risk","severeallergen","severeallergen"
"160","Scrape","4/04/2019","Triadica sebifera","Triadica sebifera","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"161","Scrape","4/04/2019","Pterocarya stenoptera","Pterocarya stenoptera","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"162","Scrape","4/04/2019","Boehmeria nivea","Boehmeria nivea","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"163","Scrape","4/04/2019","Prunus virginiana","Prunus virginiana","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"164","Scrape","4/04/2019","Cyperus esculentus","Cyperus esculentus","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"165","Scrape","4/04/2019","Chenopodium urbicum","Chenopodium urbicum","","","pollenlibrary","47","risk","risk","moderateallergen","moderateallergen"
"166","Scrape","4/04/2019","Rosa setigera","Rosa setigera","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"167","Scrape","4/04/2019","Festuca paradoxa","Festuca paradoxa","","","pollenlibrary","47","risk","risk","severeallergen","severeallergen"
"168","Scrape","4/04/2019","Artemisia cana","Artemisia cana","","","pollenlibrary","47","risk","risk","severeallergen","severeallergen"
"169","Scrape","4/04/2019","Quercus agrifolia","Quercus agrifolia","","","pollenlibrary","47","risk","risk","severeallergen","severeallergen"
"170","Scrape","4/04/2019","Ambrosia hispida","Ambrosia hispida","","","pollenlibrary","47","risk","risk","severeallergen","severeallergen"
"171","Scrape","4/04/2019","Quercus dumosa","Quercus dumosa","","","pollenlibrary","47","risk","risk","severeallergen","severeallergen"
"172","Scrape","4/04/2019","Artemisia californica","Artemisia californica","","","pollenlibrary","47","risk","risk","severeallergen","severeallergen"
"173","Scrape","4/04/2019","Distichlis spicata","Distichlis spicata","","","pollenlibrary","47","risk","risk","moderateallergen","moderateallergen"
"174","Scrape","4/04/2019","Amelanchier obovalis","Amelanchier obovalis","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"175","Scrape","4/04/2019","Salix hookeriana","Salix hookeriana","","","pollenlibrary","47","risk","risk","severeallergen","severeallergen"
"176","Scrape","4/04/2019","Artemisia suksdorfii","Artemisia suksdorfii","","","pollenlibrary","47","risk","risk","severeallergen","severeallergen"
"177","Scrape","4/04/2019","Crataegus crus-galli","Crataegus crus-galli","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"178","Scrape","4/04/2019","Cocos nucifera","Cocos nucifera","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"179","Scrape","4/04/2019","Agrostis capillaris","Agrostis capillaris","","","pollenlibrary","47","risk","risk","severeallergen","severeallergen"
"180","Scrape","4/04/2019","Artemisia lindleyana","Artemisia lindleyana","","","pollenlibrary","47","risk","risk","severeallergen","severeallergen"
"181","Scrape","4/04/2019","Thalictrum aquilegifolium","Thalictrum aquilegifolium","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"182","Scrape","4/04/2019","Hordeum vulgare","Hordeum vulgare","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"183","Scrape","4/04/2019","Phalaris canariensis","Phalaris canariensis","","","pollenlibrary","47","risk","risk","moderateallergen","moderateallergen"
"184","Scrape","4/04/2019","Corylus avellana","Corylus avellana","","","pollenlibrary","47","risk","risk","moderateallergen","moderateallergen"
"185","Scrape","4/04/2019","Celtis occidentalis","Celtis occidentalis","","","pollenlibrary","47","risk","risk","moderateallergen","moderateallergen"
"186","Scrape","4/04/2019","Humulus lupulus","Humulus lupulus","","","pollenlibrary","47","risk","risk","moderateallergen","moderateallergen"
"187","Scrape","4/04/2019","Juniperus communis","Juniperus communis","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"188","Scrape","4/04/2019","Panicum capillare","Panicum capillare","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"189","Scrape","4/04/2019","Pyrus communis","Pyrus communis","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"190","Scrape","4/04/2019","Phragmites australis","Phragmites australis","","","pollenlibrary","47","risk","risk","moderateallergen","moderateallergen"
"191","Scrape","4/04/2019","Rumex acetosella","Rumex acetosella","","","pollenlibrary","47","risk","risk","moderateallergen","moderateallergen"
"192","Scrape","4/04/2019","Tanacetum vulgare","Tanacetum vulgare","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"193","Scrape","4/04/2019","Acalypha rhomboidea","Acalypha rhomboidea","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"194","Scrape","4/04/2019","Phleum pratense","Phleum pratense","","","pollenlibrary","47","risk","risk","severeallergen","severeallergen"
"195","Scrape","4/04/2019","Ilex verticillata","Ilex verticillata","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"196","Scrape","4/04/2019","Artemisia vulgaris","Artemisia vulgaris","","","pollenlibrary","47","risk","risk","severeallergen","severeallergen"
"197","Scrape","4/04/2019","Acacia baileyana","Acacia baileyana","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"198","Scrape","4/04/2019","Iva acerosa","Iva acerosa","","","pollenlibrary","47","risk","risk","severeallergen","severeallergen"
"199","Scrape","4/04/2019","Eucalyptus torquata","Eucalyptus torquata","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"200","Scrape","4/04/2019","Zea mays","Zea mays","","","pollenlibrary","47","risk","risk","severeallergen","severeallergen"
"201","Scrape","4/04/2019","Cornus mas","Cornus mas","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"202","Scrape","4/04/2019","Sinapis arvensis","Sinapis arvensis","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"203","Scrape","4/04/2019","Baccharis pilularis","Baccharis pilularis","","","pollenlibrary","47","risk","risk","severeallergen","severeallergen"
"204","Scrape","4/04/2019","Salix fragilis","Salix fragilis","","","pollenlibrary","47","risk","risk","severeallergen","severeallergen"
"205","Scrape","4/04/2019","Juniperus horizontalis","Juniperus horizontalis","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"206","Scrape","4/04/2019","Melinis repens","Melinis repens","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"207","Scrape","4/04/2019","Elymus repens","Elymus repens","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"208","Scrape","4/04/2019","Larrea tridentata","Larrea tridentata","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"209","Scrape","4/04/2019","Cynosurus cristatus","Cynosurus cristatus","","","pollenlibrary","47","risk","risk","moderateallergen","moderateallergen"
"210","Scrape","4/04/2019","Trifolium incarnatum","Trifolium incarnatum","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"211","Scrape","4/04/2019","Callistemon citrinus","Callistemon citrinus","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
