"study","species","trait_name","value","trait_name_original","value_original","newspecies"
"ACTps","Leptospermum ‘Julieanne’","common_name","‘Julieanne’","common_name","‘Julieanne’",
"ACTps","Xerochrysum ‘Lemon Monarch’","common_name","‘Lemon Monarch’","common_name","‘Lemon Monarch’",
"ACTps","Banksia ‘Little Eric’","common_name","‘Little Eric’","common_name","‘Little Eric’",
"ACTps","Brachycome ‘Pacific Cloud’","common_name","‘Pacific Cloud’","common_name","‘Pacific Cloud’",
"ACTps","Leptospermum ‘Julieanne’","Description","Leptospermum ‘Julieanne’ is a fantastic ground cover form of tea-tree, suitable for a sunny position with adequate water. Thrives in most soil types, and is hardy in the harsh conditions experienced in the Canberra region. Water well through the first summer.","Description","Leptospermum ‘Julieanne’ is a fantastic ground cover form of tea-tree, suitable for a sunny position with adequate water. Thrives in most soil types, and is hardy in the harsh conditions experienced in the Canberra region. Water well through the first summer.",
"ACTps","Xerochrysum ‘Lemon Monarch’","Description","A bushy selection of Xerochrysum bracteatum with huge lemon yellow flower heads sitting above the plant. Retains a compact habit with regular trimming. An excellent plant for rockeries, mixed low flower beds, containers and under the dappled shade of trees.","Description","A bushy selection of Xerochrysum bracteatum with huge lemon yellow flower heads sitting above the plant. Retains a compact habit with regular trimming. An excellent plant for rockeries, mixed low flower beds, containers and under the dappled shade of trees.",
"ACTps","Banksia ‘Little Eric’","Description","A hardy, compact selection from Banksia ericifolia with bright orange/burgundy flower spikes in abundance in autumn/winter. Dry-hardy, but regular water in dry periods will produce best results. Retain a few flowers for birds to use for nest building material. Will tolerate part shade but stays bushy and flowers more prolifically in full sun.","Description","A hardy, compact selection from Banksia ericifolia with bright orange/burgundy flower spikes in abundance in autumn/winter. Dry-hardy, but regular water in dry periods will produce best results. Retain a few flowers for birds to use for nest building material. Will tolerate part shade but stays bushy and flowers more prolifically in full sun.",
"ACTps","Brachycome ‘Pacific Cloud’","Description","A white flowering compact daisy for use in rockeries, borders, mixed beds and as a container plant. Great for attracting butterflies to your garden. Will brighten up areas uder trees but can adopt an open habit if in shade all year-round. Trim old flowers lightly for another flush of flowers, and cut back hard in spring for new, vigorous growth and a compact shape.","Description","A white flowering compact daisy for use in rockeries, borders, mixed beds and as a container plant. Great for attracting butterflies to your garden. Will brighten up areas uder trees but can adopt an open habit if in shade all year-round. Trim old flowers lightly for another flush of flowers, and cut back hard in spring for new, vigorous growth and a compact shape.",
"ACTps","Leptospermum ‘Julieanne’","form","shrub","plant_type","Shrub",
"ACTps","Xerochrysum ‘Lemon Monarch’","form","perennial","plant_type","Perennial",
"ACTps","Banksia ‘Little Eric’","form","shrub","plant_type","Shrub",
"ACTps","Brachycome ‘Pacific Cloud’","form","perennial","plant_type","Perennial",
"ACTps","Leptospermum ‘Julieanne’","supp_watering","medium","watering_requirement","Medium",
"ACTps","Xerochrysum ‘Lemon Monarch’","supp_watering","medium","watering_requirement","Medium",
"ACTps","Banksia ‘Little Eric’","supp_watering","low","watering_requirement","Low",
"ACTps","Brachycome ‘Pacific Cloud’","supp_watering","medium","watering_requirement","Medium",
"ACTps","Daphne ‘Perfume Princess’","common_name","‘Perfume Princess’","common_name","‘Perfume Princess’",
"ACTps","Leptospermum ‘Purple Haze’","common_name","‘Purple Haze’","common_name","‘Purple Haze’",
"ACTps","Hardenbergia ‘Regent’","common_name","‘Regent’","common_name","‘Regent’",
"ACTps","Daphne ‘Perfume Princess’","Description","Daphne ‘Perfume Princess’ is a new variety of daphne, with much larger leaves and blooms. In Canberra it also seems to flower earlier than the standard Daphne odora, so it’s a good way to extend the perfume in your garden over a longer period. Needs protection from afternoon sun. A reliable and hardy new cultivar.","Description","Daphne ‘Perfume Princess’ is a new variety of daphne, with much larger leaves and blooms. In Canberra it also seems to flower earlier than the standard Daphne odora, so it’s a good way to extend the perfume in your garden over a longer period. Needs protection from afternoon sun. A reliable and hardy new cultivar.",
"ACTps","Leptospermum ‘Purple Haze’","Description","‘Purple Haze’ is a medium sized hardy shrub growing to approximately 1.5 metres tall. In spring it has brilliant large deep purple flowers. This tea tree will grow in a wide range of climates and soil types. It is suitable for the smaller garden, shrub beds or as a low screen.","Description","‘Purple Haze’ is a medium sized hardy shrub growing to approximately 1.5 metres tall. In spring it has brilliant large deep purple flowers. This tea tree will grow in a wide range of climates and soil types. It is suitable for the smaller garden, shrub beds or as a low screen.",
"ACTps","Hardenbergia ‘Regent’","Description","Perfect for growing in containers, bedding displays and many landscape applications or as an informal hedge. Less bushy in shady sites but flowers tend to last longer in shade than in full sun.","Description","Perfect for growing in containers, bedding displays and many landscape applications or as an informal hedge. Less bushy in shady sites but flowers tend to last longer in shade than in full sun.",
"ACTps","Daphne ‘Perfume Princess’","form","shrub","plant_type","Shrub",
"ACTps","Leptospermum ‘Purple Haze’","form","shrub","plant_type","Shrub",
"ACTps","Hardenbergia ‘Regent’","form","shrub","plant_type","Shrub",
"ACTps","Daphne ‘Perfume Princess’","supp_watering","medium","watering_requirement","Medium",
"ACTps","Leptospermum ‘Purple Haze’","supp_watering","low","watering_requirement","Low",
"ACTps","Hardenbergia ‘Regent’","supp_watering","low","watering_requirement","Low",
"ACTps","Westringia","common_name","Aussie Box","common_name","Aussie Box",
"ACTps","Westringia","Description","Aussie Box Westringia can be pruned into a box hedge or left in its natural ball shape whilst staying compact and tidy. Produces mauve flowers throughout spring/summer and has a dense growth habit. Great alternative to exotic box plants as it has faster establishment time and requires less water and needs less pruning than other Westringias.","Description","Aussie Box Westringia can be pruned into a box hedge or left in its natural ball shape whilst staying compact and tidy. Produces mauve flowers throughout spring/summer and has a dense growth habit. Great alternative to exotic box plants as it has faster establishment time and requires less water and needs less pruning than other Westringias.",
"ACTps","Westringia","form","shrub","plant_type","Shrub",
"ACTps","Westringia","supp_watering","low","watering_requirement","Low",
"ACTps","Banksia marginata dwarf form","common_name","Banksia (dwarf marginata)","common_name","Banksia (dwarf marginata)",
"ACTps","Banksia marginata dwarf form","Description","Evergreen low spreading shrub (0.5m x 1m). Dwarf form of B. marginata from ACT, NSW, Vic, Tas and SA. Narrow oblong leaves blunt at the tip with white velvety texture below. Yellow cylindrical flower spikes from summer to autumn. Useful feature or planted in groups or pot plant. Attracts honeyeater birds. Prefers well drained sandy soil. Frost and drought tolerant.","Description","Evergreen low spreading shrub (0.5m x 1m). Dwarf form of B. marginata from ACT, NSW, Vic, Tas and SA. Narrow oblong leaves blunt at the tip with white velvety texture below. Yellow cylindrical flower spikes from summer to autumn. Useful feature or planted in groups or pot plant. Attracts honeyeater birds. Prefers well drained sandy soil. Frost and drought tolerant.",
"ACTps","Banksia marginata dwarf form","form","shrub","plant_type","Shrub",
"ACTps","Banksia marginata dwarf form","supp_watering","low","watering_requirement","Low",
"ACTps","Tetratheca sp","common_name","Black-Eyed Susan","common_name","Black-Eyed Susan",
"ACTps","Tetratheca sp","Description","Tetrathca, of Black-eyed Susan, is a group of small hardy shrubs, with lovely pinkish-mauve flowers in late winter and spring. Tetratheca thymifolia is probably the most familiar, and the easiest to find in garden centres. Requires no maintenance and flowers equally well in shade.","Description","Tetrathca, of Black-eyed Susan, is a group of small hardy shrubs, with lovely pinkish-mauve flowers in late winter and spring. Tetratheca thymifolia is probably the most familiar, and the easiest to find in garden centres. Requires no maintenance and flowers equally well in shade.",
"ACTps","Tetratheca sp","form","shrub","plant_type","Shrub",
"ACTps","Tetratheca sp","supp_watering","medium","watering_requirement","Medium",
"ACTps","Banksia","common_name","Bulli Baby","common_name","Bulli Baby",
"ACTps","Banksia","Description","A dwarf selection of Banksia ericifolia, this compact shrub produces masses of large orange/red flower spikes in autumn and winter. Works well as a hardy but spectacular pot specimen. Great for attracting nectar-feeding birds. Grows slightly bushier with more flowers in a sunny site.","Description","A dwarf selection of Banksia ericifolia, this compact shrub produces masses of large orange/red flower spikes in autumn and winter. Works well as a hardy but spectacular pot specimen. Great for attracting nectar-feeding birds. Grows slightly bushier with more flowers in a sunny site.",
"ACTps","Banksia","form","shrub","plant_type","Shrub",
"ACTps","Banksia","supp_watering","medium","watering_requirement","Medium",
"ACTps","Anigozanthus sp","common_name","Bush Pearl","common_name","Bush Pearl",
"ACTps","Ceanothus 'Blue Pacific'","common_name","Ceanothus","common_name","Ceanothus",
"ACTps","Anigozanthus sp","Description","This is a stunning small compact plant with strappy foliage and striking pink flowers throughout late spring and summer. Plants can be good performers and long-lived when grown in containers in sites sheltered from heavy frost. Can produce another flush of flowers if old flowers are removed. Great nectar source for birds.","Description","This is a stunning small compact plant with strappy foliage and striking pink flowers throughout late spring and summer. Plants can be good performers and long-lived when grown in containers in sites sheltered from heavy frost. Can produce another flush of flowers if old flowers are removed. Great nectar source for birds.",
"ACTps","Ceanothus 'Blue Pacific'","Description","Evergreen large round shrub (2m x 2.5m) from North America. Lance shaped glossy dark green leaves. Dense clusters of small lightly scented blue flowers at the tips of new growth in spring to summer. Useful as a specimen or in groups for its colourful flower display. Grows in partial shade, but flowers better in full sun and free draining soil. Best near a north facing wall.","Description","Evergreen large round shrub (2m x 2.5m) from North America. Lance shaped glossy dark green leaves. Dense clusters of small lightly scented blue flowers at the tips of new growth in spring to summer. Useful as a specimen or in groups for its colourful flower display. Grows in partial shade, but flowers better in full sun and free draining soil. Best near a north facing wall.",
"ACTps","Anigozanthus sp","form","grass","plant_type","Grass",
"ACTps","Ceanothus 'Blue Pacific'","form","shrub","plant_type","Shrub",
"ACTps","Anigozanthus sp","supp_watering","medium","watering_requirement","Medium",
"ACTps","Ceanothus 'Blue Pacific'","supp_watering","low","watering_requirement","Low",
"ACTps","Convolvulus sabatius (syn. C. mauritanicus)","common_name","Convolvulus","common_name","Convolvulus",
"ACTps","Convolvulus sabatius (syn. C. mauritanicus)","Description","Evergreen trailing groundcover perennial with slender stems (0.1m x 0.9m) from North Africa, Spain & Italy. Small oval leaves on lax stems. Open trumpet-shaped vibrant blue-purple flowers in summer. Useful as a groundcover or to cascade over a wall or out of a container.","Description","Evergreen trailing groundcover perennial with slender stems (0.1m x 0.9m) from North Africa, Spain & Italy. Small oval leaves on lax stems. Open trumpet-shaped vibrant blue-purple flowers in summer. Useful as a groundcover or to cascade over a wall or out of a container.",
"ACTps","Convolvulus sabatius (syn. C. mauritanicus)","form","shrub","plant_type","Shrub",
"ACTps","Convolvulus sabatius (syn. C. mauritanicus)","supp_watering","low","watering_requirement","Low",
"ACTps","Narcissus spp.","common_name","Daffodil","common_name","Daffodil",
"ACTps","Dahlia hybrids","common_name","Dahlia","common_name","Dahlia",
"ACTps","Narcissus spp.","Description","Flowering perennial bulb (0.5m x 0.4m) from Europe. Linear leaves. Terminal solitary or clustered mostly fragrant trumpet shaped flowers and perianth in shades of yellow, orange, cream or white in spring. Useful for colour display, planted in groups, drifts or containers. Prefers a sunny position with good drainage. Most cultivars increase naturally by offsets. Dense clumps should be divided no sooner than 6 weeks after flowering every 3-5 years.","Description","Flowering perennial bulb (0.5m x 0.4m) from Europe. Linear leaves. Terminal solitary or clustered mostly fragrant trumpet shaped flowers and perianth in shades of yellow, orange, cream or white in spring. Useful for colour display, planted in groups, drifts or containers. Prefers a sunny position with good drainage. Most cultivars increase naturally by offsets. Dense clumps should be divided no sooner than 6 weeks after flowering every 3-5 years.",
"ACTps","Dahlia hybrids","Description","Bushy tuberous perennial (1-2m x 0.5m). Hybrids originating from Mexico. Grown from swollen tubers planted out in October and November. Leaves variable often divided into leaflets. Brilliantly coloured flowers in a wide range of colours and styles in summer and autumn. Useful massed for its colour display, as part of a border of perennial plants or for cut flowers. Protect from strong winds. Avoid competition from tree and shrub roots. Prefers well drained fertile soil in a warm position. May require staking to prevent stem breakage. Tubers are best lifted after flowering and stored over winter.","Description","Bushy tuberous perennial (1-2m x 0.5m). Hybrids originating from Mexico. Grown from swollen tubers planted out in October and November. Leaves variable often divided into leaflets. Brilliantly coloured flowers in a wide range of colours and styles in summer and autumn. Useful massed for its colour display, as part of a border of perennial plants or for cut flowers. Protect from strong winds. Avoid competition from tree and shrub roots. Prefers well drained fertile soil in a warm position. May require staking to prevent stem breakage. Tubers are best lifted after flowering and stored over winter.",
"ACTps","Narcissus spp.","form","bulb","plant_type","Bulb",
"ACTps","Dahlia hybrids","form","perennial","plant_type","Perennial",
"ACTps","Narcissus spp.","supp_watering","low","watering_requirement","Low",
"ACTps","Dahlia hybrids","supp_watering","medium","watering_requirement","Medium",
"ACTps","Eutaxia obovata dwarf","common_name","Dwarf Eutaxia","common_name","Dwarf Eutaxia",
"ACTps","Daphne","common_name","Eternal Fragrance’","common_name","Eternal Fragrance’",
"ACTps","Eutaxia obovata dwarf","Description","A dwarf form, prolific display of yellow pea flowers in spring. The handsome foliage is complemented by long lasting flowers. This plant will tolerate most soils, coastal conditions, drought and frost. Prefers an open sunny position and will require a light trim after flowering. In shade it will adopt a less bushy habit.","Description","A dwarf form, prolific display of yellow pea flowers in spring. The handsome foliage is complemented by long lasting flowers. This plant will tolerate most soils, coastal conditions, drought and frost. Prefers an open sunny position and will require a light trim after flowering. In shade it will adopt a less bushy habit.",
"ACTps","Daphne","Description","During spring, ‘Eternal Fragrance’ produces tight clusters of classic white flowers at the tips of its deep green foliage. The display doesn’t end there however, with this variety continuing to spot flower repeatedly throughout the year. ‘Eternal Fragrance’ has an exquisite perfume. Daphne lovers will be familiar with the intoxicating fragrance of the common Daphne odora species and will be delighted with this new take on the daphne scent. Daphne ‘Eternal Fragrance’ is frost hardy, and tolerant of both hot and dry conditions. This is the only type of Daphne that performs in sunny sites without scorching.","Description","During spring, ‘Eternal Fragrance’ produces tight clusters of classic white flowers at the tips of its deep green foliage. The display doesn’t end there however, with this variety continuing to spot flower repeatedly throughout the year. ‘Eternal Fragrance’ has an exquisite perfume. Daphne lovers will be familiar with the intoxicating fragrance of the common Daphne odora species and will be delighted with this new take on the daphne scent. Daphne ‘Eternal Fragrance’ is frost hardy, and tolerant of both hot and dry conditions. This is the only type of Daphne that performs in sunny sites without scorching.",
"ACTps","Eutaxia obovata dwarf","form","shrub","plant_type","Shrub",
"ACTps","Daphne","form","shrub","plant_type","Shrub",
"ACTps","Eutaxia obovata dwarf","supp_watering","low","watering_requirement","Low",
"ACTps","Daphne","supp_watering","medium","watering_requirement","Medium",
"ACTps","Crowea sp","common_name","Festival","common_name","Festival",
"ACTps","Crowea sp","Description","Crowea ‘Festival’ is a great shrub for that shady spot in the garden. It’s a small shrub that flowers over a long period in autumn with star shaped pink blooms. Good rockery or container plant that is useful as a cut flower as well.","Description","Crowea ‘Festival’ is a great shrub for that shady spot in the garden. It’s a small shrub that flowers over a long period in autumn with star shaped pink blooms. Good rockery or container plant that is useful as a cut flower as well.",
"ACTps","Crowea sp","form","shrub","plant_type","Shrub",
"ACTps","Crowea sp","supp_watering","medium","watering_requirement","Medium",
"ACTps","Westringia Flat ‘n Fruity","common_name","Flat ‘n Fruity","common_name","Flat ‘n Fruity",
"ACTps","Westringia Flat ‘n Fruity","Description","Very low maintenance ground cover. Nice and thick to suppress weeds, producing white flowers through the warmer months. Tolerates clay soils and harsh conditions, even in tricky spots such as under Eucalypts.","Description","Very low maintenance ground cover. Nice and thick to suppress weeds, producing white flowers through the warmer months. Tolerates clay soils and harsh conditions, even in tricky spots such as under Eucalypts.",
"ACTps","Westringia Flat ‘n Fruity","form","shrub","plant_type","Shrub",
"ACTps","Westringia Flat ‘n Fruity","supp_watering","low","watering_requirement","Low",
"ACTps","Xanthorrhoea spp","common_name","Grass Tree (Xanthorrhoea)","common_name","Grass Tree (Xanthorrhoea)",
"ACTps","Grevillea 'Border Red' Grevillea ‘Border Red’","common_name","Grevillea ‘Border Red’","common_name","Grevillea ‘Border Red’",
"ACTps","Grevillea 'Lady O' Grevillea ‘Lady O’","common_name","Grevillea ‘Lady O’","common_name","Grevillea ‘Lady O’",
"ACTps","Xanthorrhoea spp","Description","Evergreen slow growing stout perennial with a grassy clump and dark, sometimes branched trunk (1-3m) from ACT, NSW, Vic, SA and Tas. Green grass-like radiating leaves arising in a tuft. Tall spear-like flower up to 4m high. Useful as a feature and in groups for its interesting form and foliage texture. Sensitive to root disturbance. Drought tolerant.","Description","Evergreen slow growing stout perennial with a grassy clump and dark, sometimes branched trunk (1-3m) from ACT, NSW, Vic, SA and Tas. Green grass-like radiating leaves arising in a tuft. Tall spear-like flower up to 4m high. Useful as a feature and in groups for its interesting form and foliage texture. Sensitive to root disturbance. Drought tolerant.",
"ACTps","Grevillea 'Border Red' Grevillea ‘Border Red’","Description","Evergreen medium shrub (1.2m x 1.2m). Self sown cultivar from NSW. Olive green linear leaves. Red spider flowers in winter and spring. Useful screen, hedge or in mixed shrub beds. Bird attracting. Drought tolerant. Prune to maintain form.","Description","Evergreen medium shrub (1.2m x 1.2m). Self sown cultivar from NSW. Olive green linear leaves. Red spider flowers in winter and spring. Useful screen, hedge or in mixed shrub beds. Bird attracting. Drought tolerant. Prune to maintain form.",
"ACTps","Grevillea 'Lady O' Grevillea ‘Lady O’","Description","Evergreen spreading shrub (1-1.5m x 2m). Hybrid between G. rhyolitica from south coast NSW and G. victoriae from ACT. Green linear leaves. Bright red flowers in spring to autumn. Useful as a feature for its long flowering period, screen or background for smaller shrubs. Bird attracting. Flowers well in sun or shade. Prune to maintain form. Drought tolerant.","Description","Evergreen spreading shrub (1-1.5m x 2m). Hybrid between G. rhyolitica from south coast NSW and G. victoriae from ACT. Green linear leaves. Bright red flowers in spring to autumn. Useful as a feature for its long flowering period, screen or background for smaller shrubs. Bird attracting. Flowers well in sun or shade. Prune to maintain form. Drought tolerant.",
"ACTps","Xanthorrhoea spp","form","perennial","plant_type","Perennial",
"ACTps","Grevillea 'Border Red' Grevillea ‘Border Red’","form","shrub","plant_type","Shrub",
"ACTps","Grevillea 'Lady O' Grevillea ‘Lady O’","form","shrub","plant_type","Shrub",
"ACTps","Xanthorrhoea spp","supp_watering","low","watering_requirement","Low",
"ACTps","Grevillea 'Border Red' Grevillea ‘Border Red’","supp_watering","medium","watering_requirement","Medium",
"ACTps","Grevillea 'Lady O' Grevillea ‘Lady O’","supp_watering","medium","watering_requirement","Medium",
"ACTps","Grevillea lanigera prostrate forms","common_name","Grevillea (Prostrate Woolly )","common_name","Grevillea (Prostrate Woolly )",
"ACTps","Grevillea lanigera prostrate forms","Description","Evergreen prostrate groundcover (0.2m x 1.2m) from ACT, NSW and Vic. Grey oblong shaped soft hairy leaves. Cream and pink to red spider flowers in clusters on ends of branches in winter and spring. Useful for mass planting and understorey for bush gardens. Bird attracting. Prefers well drained soil. Drought tolerant.","Description","Evergreen prostrate groundcover (0.2m x 1.2m) from ACT, NSW and Vic. Grey oblong shaped soft hairy leaves. Cream and pink to red spider flowers in clusters on ends of branches in winter and spring. Useful for mass planting and understorey for bush gardens. Bird attracting. Prefers well drained soil. Drought tolerant.",
"ACTps","Grevillea lanigera prostrate forms","purpose","groundcover","plant_type","Groundcover",
"ACTps","Grevillea lanigera prostrate forms","supp_watering","low","watering_requirement","Low",
"ACTps","Hebe 'Emerald Green'","common_name","Hebe","common_name","Hebe",
"ACTps","Hebe 'Emerald Green'","Description","Evergreen small compact shrub (0.3m x 0.3m). Hybrid from New Zealand. Minute crowded green leaves. Insignificant flowers. Useful low border or massed in a rock garden. Prefers a sunny site with well drained soil.","Description","Evergreen small compact shrub (0.3m x 0.3m). Hybrid from New Zealand. Minute crowded green leaves. Insignificant flowers. Useful low border or massed in a rock garden. Prefers a sunny site with well drained soil.",
"ACTps","Hebe 'Emerald Green'","form","shrub","plant_type","Shrub",
"ACTps","Hebe 'Emerald Green'","supp_watering","low","watering_requirement","Low",
"ACTps","Hebe 'Wiri Cloud'","common_name","Hebe (Wiri Cloud)","common_name","Hebe (Wiri Cloud)",
"ACTps","Acacia howittii dwarf","common_name","Honey Bun","common_name","Honey Bun",
"ACTps","Hebe 'Wiri Cloud'","Description","Evergreen small compacted rounded shrub (0.4m x 0.4m) from New Zealand. Mid-green leaves. Pink flowers fading to pale pink in early summer. Useful for a feature, mass planting or as a border in perennial gardens. Prune after flowering to maintain compact form. In shade, foliage and flowers will be sparse so regular tip pruning is required for a bushier habit.","Description","Evergreen small compacted rounded shrub (0.4m x 0.4m) from New Zealand. Mid-green leaves. Pink flowers fading to pale pink in early summer. Useful for a feature, mass planting or as a border in perennial gardens. Prune after flowering to maintain compact form. In shade, foliage and flowers will be sparse so regular tip pruning is required for a bushier habit.",
"ACTps","Acacia howittii dwarf","Description","A compact and dense wattle, growing to just over a metre high and wide. It flowers in spring with pale lemon ball shaped flowers. An easy care plant, which is drought tolerant. Useful for hedging, mass planting and containers. Likes a well drained spot. In part shade, tip prune to develop a compact shape.","Description","A compact and dense wattle, growing to just over a metre high and wide. It flowers in spring with pale lemon ball shaped flowers. An easy care plant, which is drought tolerant. Useful for hedging, mass planting and containers. Likes a well drained spot. In part shade, tip prune to develop a compact shape.",
"ACTps","Hebe 'Wiri Cloud'","form","shrub","plant_type","Shrub",
"ACTps","Acacia howittii dwarf","form","shrub","plant_type","Shrub",
"ACTps","Hebe 'Wiri Cloud'","supp_watering","low","watering_requirement","Low",
"ACTps","Acacia howittii dwarf","supp_watering","low","watering_requirement","Low",
"ACTps","Hyacinthus spp.","common_name","Hyacinth","common_name","Hyacinth",
"ACTps","Hyacinthus spp.","Description","Flowering bulb perennial (0.2m x 0.1m) from the Mediterranean region. Deep green strap-like leaves forming clumps. Single spikes of fragrant waxy flowers in shades of red, blue, white, orange, pink, violet or yellow. Useful for colour display, planted in groups, drifts or containers. Plant bulbs in autumn at two to three times their own depth. Prefers full sun to light shade in fertile well drained soil. Bulbs can be lifted and divided in late summer.","Description","Flowering bulb perennial (0.2m x 0.1m) from the Mediterranean region. Deep green strap-like leaves forming clumps. Single spikes of fragrant waxy flowers in shades of red, blue, white, orange, pink, violet or yellow. Useful for colour display, planted in groups, drifts or containers. Plant bulbs in autumn at two to three times their own depth. Prefers full sun to light shade in fertile well drained soil. Bulbs can be lifted and divided in late summer.",
"ACTps","Hyacinthus spp.","form","bulb","plant_type","Bulb",
"ACTps","Hyacinthus spp.","supp_watering","low","watering_requirement","Low",
"ACTps","Juniperina horizontalis","common_name","Juniper (Creeping)","common_name","Juniper (Creeping)",
"ACTps","Juniperina horizontalis","Description","Evergreen low growing coniferous shrub with fan-like branches (0.5-1m x 3m) from North America. Prickly scale-like bluish green leaves turning purplish in winter on horizontal stems. Bluish berries. Useful groundcover for mass planting or covering banks. Prostrate cultivars available. Fast growing.","Description","Evergreen low growing coniferous shrub with fan-like branches (0.5-1m x 3m) from North America. Prickly scale-like bluish green leaves turning purplish in winter on horizontal stems. Bluish berries. Useful groundcover for mass planting or covering banks. Prostrate cultivars available. Fast growing.",
"ACTps","Juniperina horizontalis","form","shrub","plant_type","Shrub",
"ACTps","Juniperina horizontalis","supp_watering","low","watering_requirement","Low",
"ACTps","Lavendula 'Avonview'","common_name","Lavender (Avonview)","common_name","Lavender (Avonview)",
"ACTps","Lavendula 'Avonview'","Description","Evergreen compact shrub ( 0.8m x 0.8m). New Zealand cultivar of L.stoechas from the Mediterranean. Aromatic silver grey linear leaves. Purple flowers on erect terminal whorled spikes from spring to late autumn. Useful for a low hedge, edging and borders, cut flowers, mass planting, pot and contrast amongst mixed shrubbery. Prefers a sunny well-drained position. Prune back after flowering. Drought tolerant.","Description","Evergreen compact shrub ( 0.8m x 0.8m). New Zealand cultivar of L.stoechas from the Mediterranean. Aromatic silver grey linear leaves. Purple flowers on erect terminal whorled spikes from spring to late autumn. Useful for a low hedge, edging and borders, cut flowers, mass planting, pot and contrast amongst mixed shrubbery. Prefers a sunny well-drained position. Prune back after flowering. Drought tolerant.",
"ACTps","Lavendula 'Avonview'","form","shrub","plant_type","Shrub",
"ACTps","Lavendula 'Avonview'","supp_watering","low","watering_requirement","Low",
"ACTps","Lomandra","common_name","Lime Tuff","common_name","Lime Tuff",
"ACTps","Lomandra","Description","Lomandra’ Lime Tuff’ is an excellent cultivar, which has been proven to be happy even in Canberra’s harsh climate. Soft, bright green strappy foliage weeps gracefully, especially if planted in the shade. Best Lomandra for very shaded positions, but also thrives in an exposed sunny spot. Lomandra species are an important food source for seed eating birds, which makes them a great addition to a bird attracting garden.","Description","Lomandra’ Lime Tuff’ is an excellent cultivar, which has been proven to be happy even in Canberra’s harsh climate. Soft, bright green strappy foliage weeps gracefully, especially if planted in the shade. Best Lomandra for very shaded positions, but also thrives in an exposed sunny spot. Lomandra species are an important food source for seed eating birds, which makes them a great addition to a bird attracting garden.",
"ACTps","Lomandra","form","grass","plant_type","Grass",
"ACTps","Lomandra","supp_watering","low","watering_requirement","Low",
