"newspecies","species_number","multiple_forms","date_sourced","List_source"
"Xanthorrhoea glauca",42,"","24/05/2018","Maps_Hugh"
"Leptospermum petersonii",43,"Yes","24/05/2018","Maps_Hugh"
"Grevillea baileyana",44,"","24/05/2018","Maps_Hugh"
"Acacia melanoxylon",45,"","24/05/2018","Maps_Hugh"
"Stenocarpus sinuatus",46,"","24/05/2018","Maps_Hugh"
"Callistemon citrinus",47,"Yes","24/05/2018","Maps_Hugh"
"Hibbertia scandens",48,"","19/07/2018","Maps_Hugh"
"Carex appressa",49,"","24/05/2018","Maps_Hugh"
"Eucalyptus sideroxylon",50,"","24/05/2018","Maps_Hugh"
"Eucalyptus polyanthemos",51,"Yes","25/05/2018","Maps_Hugh"
"Banksia robur",52,"","25/05/2018","Maps_Hugh"
"Eucalyptus tereticornis",53,"","25/05/2018","Maps_Hugh"
"Prunus cerasifera Nigra",54,"Yes","20/07/2018","Maps_Hugh"
"Westringia fruticosa",55,"Yes","25/05/2018","Maps_Hugh"
"Acacia implexa",56,"","25/05/2018","Maps_Hugh"
"Eucalyptus pauciflora",57,"Yes","25/05/2018","Maps_Hugh"
"Backhousia myrtifolia",58,"Yes","20/07/2018","Maps_Hugh"
"Casuarina glauca",59,"Yes","25/05/2018","Maps_Hugh"
"Ficus microcarpa hillii hillii",60,"Yes","25/05/2018","Maps_Hugh"
"Pittosporum tobira",61,"Yes","25/05/2018","Maps_Hugh"
"Furcraea foetida",62,"","25/05/2018","Maps_Hugh"
"Eucalyptus mannifera",63,"","25/05/2018","Maps_Hugh"
"Correa alba",64,"Yes","25/05/2018","Maps_Hugh"
"Betula pendula",65,"Yes","23/07/2018","Maps_Hugh"
"Hakea salicifolia",66,"","25/05/2018","Maps_Hugh"
"Fraxinus pennsylvanica Cimmzam Cimmaron",67,"","12/2/2019","Scrape"
"Hakea laurina",68,"","25/05/2018","Maps_Hugh"
"Hibiscus tiliaceus",69,"Yes","25/05/2018","Maps_Hugh"
"Rhaphiolepis indica",70,"Yes","25/05/2018","Maps_Hugh"
"Castanospermum australe",71,"","25/05/2018","Maps_Hugh"
"Robinia pseudoacacia Frisia",72,"Yes","25/07/2018","Maps_Hugh"
"Pittosporum tenuifolium Screenmaster",73,"","14/2/2019","Scrape"
"Xanthostemon chrysanthus",74,"","17/2/2019","Scrape"
"Ulmus parvifolia Todd",75,"Yes","27/05/2018","Maps_Hugh"
"Grevillea juniperina",76,"Yes","27/05/2018","Maps_Hugh"
"Crassula ovata",77,"Yes","25/07/2018","Maps_Hugh"
"Acacia pycnantha",78,"","27/05/2018","Maps_Hugh"
"Calodendrum capense",79,"","27/05/2018","Maps_Hugh"
"Melaleuca bracteata",80,"Yes","27/05/2018","Maps_Hugh"
"Camellia sasanqua",81,"Yes","27/05/2018","Maps_Hugh"
"Syzygium wilsonii",82,"Yes","27/05/2018","Maps_Hugh"
"Alectryon coriaceus",83,"","28/05/2018","Maps_Hugh"
"Hibbertia obtusifolia",84,"","28/05/2018","Maps_Hugh"
"Phormium tenax Purpurea",85,"","14/2/2019","Scrape"
"Eucalyptus erythrocorys",86,"","28/05/2018","Maps_Hugh"
"Elaeocarpus reticulatus",87,"","28/05/2018","Maps_Hugh"
"Melaleuca thymifolia",88,"","28/05/2018","Maps_Hugh"
"Westringia longifolia",89,"Yes","28/05/2018","Maps_Hugh"
"Hymenosporum flavum",90,"","28/05/2018","Maps_Hugh"
"Atractocarpus fitzalanii",91,"","2/08/2018","Maps_Hugh"
"Kennedia prostrata",92,"","28/05/2018","Maps_Hugh"
"Trachelospermum asiaticum",93,"Yes","28/05/2018","Maps_Hugh"
"Liriodendron tulipifera",94,"Yes","28/05/2018","Maps_Hugh"
"Pandorea jasminoides",95,"","28/05/2018","Maps_Hugh"
"Lagerstroemia indica",96,"Yes","28/05/2018","Maps_Hugh"
"Dysoxylum fraserianum",97,"","2/08/2018","Maps_Hugh"
"Cordyline australis",98,"Yes","2/08/2018","Maps_Hugh"
"Kunzea parvifolia",99,"Yes","28/05/2018","Maps_Hugh"
"Dianella caerulea",100,"","30/1/2019","Scrape"
"Agonis flexuosa",101,"Yes","3/08/2018","Maps_Hugh"
"Myoporum parvifolium",102,"Yes","28/05/2018","Maps_Hugh"
"Sarcopteryx stipata",103,"","3/08/2018","Maps_Hugh"
"Murraya paniculata",104,"Yes","29/05/2018","Maps_Hugh"
"Zieria cytisoides",105,"Yes","29/05/2018","Maps_Hugh"
"Liriope muscari",106,"Yes","29/05/2018","Maps_Hugh"
"Zoysia macrantha",107,"Yes","29/05/2018","Maps_Hugh"
"Lomandra longifolia",108,"Yes","3/08/2018","Maps_Hugh"
"Stenotaphrum secundatum",109,"Yes","29/05/2018","Maps_Hugh"
"Quercus robur",110,"Yes","3/08/2018","Maps_Hugh"
"Hardenbergia violacea",111,"Yes","29/05/2018","Maps_Hugh"
"Ficus platypoda",112,"","29/05/2018","Maps_Hugh"
"Alectryon oleifolius",113,"","29/05/2018","Maps_Hugh"
"Xanthostemon paradoxus",114,"","29/05/2018","Maps_Hugh"
"Syzygium floribundum",115,"Yes","29/05/2018","Maps_Hugh"
"Plectranthus argentatus",116,"","29/05/2018","Maps_Hugh"
"Kennedia beckxiana",117,"","29/05/2018","Maps_Hugh"
"Flindersia maculosa",118,"","29/05/2018","Maps_Hugh"
"Baeckea virgata",119,"Yes","29/05/2018","Maps_Hugh"
"Acacia complanata",120,"","22/06/2018","Survey_suggestions"
"Acacia falcata",121,"","22/06/2018","Survey_suggestions"
"Acacia fimbriata",122,"","22/06/2018","Survey_suggestions"
"Acacia rubida",123,"","22/06/2018","Survey_suggestions"
"Allocasuarina torulosa",124,"","22/06/2018","Survey_suggestions"
"Alphitonia excelsa",125,"","25/06/2018","Survey_suggestions"
"Angophora hispida",126,"","25/06/2018","Survey_suggestions"
"Atherosperma moschatum",127,"","25/06/2018","Survey_suggestions"
"Austromyrtus tenuifolia",128,"","25/06/2018","Survey_suggestions"
"Banksia spinulosa",129,"Yes","25/06/2018","Survey_suggestions"
"Banksia integrifolia",130,"","25/06/2018","Survey_suggestions"
"Banksia serrata",131,"","26/06/2018","Survey_suggestions"
"Calotis cuneifolia",132,"","26/06/2018","Survey_suggestions"
"Ceratopetalum apetalum",133,"","26/06/2018","Survey_suggestions"
"Ceratopetalum gummiferum",134,"Yes","26/06/2018","Survey_suggestions"
"Chrysocephalum apiculatum",135,"Yes","26/06/2018","Survey_suggestions"
"Coronodium scorpiodes",136,"","26/06/2018","Survey_suggestions"
"Cryptocarya glaucescens",137,"","26/06/2018","Survey_suggestions"
"Ehretia acuminata",138,"","26/06/2018","Survey_suggestions"
"Elaeocarpus angustifolius",139,"","27/06/2018","Survey_suggestions"
"Elaeocarpus obovatus",140,"","27/06/2018","Survey_suggestions"
"Eremophila maculata maculata",141,"Yes","27/06/2018","Survey_suggestions"
"Eucalyptus curtisii",142,"","28/06/2018","Survey_suggestions"
"Eucalyptus paniculata",143,"","28/06/2018","Survey_suggestions"
"Eucalyptus punctata",144,"","28/06/2018","Survey_suggestions"
"Eucalyptus robusta",145,"","28/06/2018","Survey_suggestions"
"Eucryphia moorei",146,"","28/06/2018","Survey_suggestions"
"Ficus coronata",147,"","28/06/2018","Survey_suggestions"
"Ficus destruens",148,"","28/06/2018","Survey_suggestions"
"Flindersia bennettiana",149,"","28/06/2018","Survey_suggestions"
"Geijera parviflora",150,"","28/06/2018","Survey_suggestions"
"Glochidion ferdinandi",151,"","28/06/2018","Survey_suggestions"
"Grapophyllum ilicifolium",152,"","28/06/2018","Survey_suggestions"
"Grevillea rosmarinifolia",153,"Yes","28/06/2018","Survey_suggestions"
"Imperata cylindrica rubra",154,"Yes","28/06/2018","Survey_suggestions"
"Leucadendron salignum",155,"Yes","28/06/2018","Survey_suggestions"
"Lysiphyllum hookeri",156,"","28/06/2018","Survey_suggestions"
"Macadamia tetraphylla",157,"","29/06/2018","Survey_suggestions"
"Melaleuca decora",158,"","29/06/2018","Survey_suggestions"
"Melaleuca linariifolia",159,"","14/2/2019","Scrape"
"Melaleuca styphelioides",160,"","29/06/2018","Survey_suggestions"
"Melaleuca viridiflora",161,"Yes","29/06/2018","Survey_suggestions"
"Melicope elleryana",162,"","29/06/2018","Survey_suggestions"
"Mentha diemenica",163,"","29/06/2018","Survey_suggestions"
"Microlaena stipoides",164,"","29/06/2018","Survey_suggestions"
"Myoporum floribundum",165,"","29/06/2018","Survey_suggestions"
"Myoporum insulare",166,"Yes","29/06/2018","Survey_suggestions"
"Myoporum montanum",167,"","29/06/2018","Survey_suggestions"
"Olearia axillaris",168,"Yes","30/06/2018","Survey_suggestions"
"Olearia lepidophylla",169,"","30/06/2018","Survey_suggestions"
"Pavetta australiensis",170,"","30/06/2018","Survey_suggestions"
"Pimelea linifolia White Jewel",171,"Yes","30/06/2018","Survey_suggestions"
"Podocarpus elatus",172,"","30/06/2018","Survey_suggestions"
"Podocarpus spinulosus",173,"","30/06/2018","Survey_suggestions"
"Prostanthera scutellarioides",174,"","30/06/2018","Survey_suggestions"
"Rhodosphera rhodanthema",175,"","2/07/2018","Survey_suggestions"
"Magnolia grandiflora",176,"Yes","9/07/2018","Ale_200trees"
"Eucalyptus leucoxylon",177,"Yes","6/08/2018","Ale_200trees"
"Eucalyptus camaldulensis",178,"Yes","6/08/2018","Ale_200trees"
"Platanus acerifolia",179,"Yes","6/08/2018","Ale_200trees"
"Corymbia maculata",180,"","6/08/2018","Ale_200trees"
"Eucalyptus melliodora",181,"","6/08/2018","Ale_200trees"
"Corymbia ficifolia",182,"Yes","6/08/2018","Ale_200trees"
"Melaleuca armillaris",183,"","6/08/2018","Ale_200trees"
"Eucalyptus microcarpa",184,"","6/08/2018","Ale_200trees"
"Callistemon salignus",185,"Yes","7/08/2018","Ale_200trees"
"Corymbia citriodora",186,"","7/08/2018","Ale_200trees"
"Eucalyptus cladocalyx",187,"","7/08/2018","Ale_200trees"
"Ulmus procera",188,"","7/08/2018","Ale_200trees"
"Allocasuarina verticillata",189,"","7/08/2018","Ale_200trees"
"Koelreuteria paniculata",190,"","7/08/2018","Ale_200trees"
"Eucalyptus scoparia",191,"","7/08/2018","Ale_200trees"
"Eucalyptus nicholii",192,"","7/08/2018","Ale_200trees"
"Gleditsia triacanthos",193,"Yes","8/08/2018","Ale_200trees"
"Pittosporum undulatum",194,"","8/08/2018","Ale_200trees"
"Prunus blireana",195,"Yes","8/08/2018","Ale_200trees"
"Platanus orientalis",196,"Yes","9/08/2018","Ale_200trees"
"Grevillea robusta",197,"","9/08/2018","Ale_200trees"
"Acacia mearnsii",198,"","9/08/2018","Ale_200trees"
"Liquidambar styraciflua",199,"Yes","9/08/2018","Ale_200trees"
"Eucalyptus viminalis",200,"","9/08/2018","Ale_200trees"
"Fraxinus excelsior Aurea",201,"Yes","9/08/2018","Ale_200trees"
"Cupressus macrocarpa",202,"Yes","9/08/2018","Ale_200trees"
"Fraxinus griffithii",203,"","14/2/2019","Scrape"
"Acer negundo",204,"Yes","10/08/2018","Ale_200trees"
"Eucalyptus botryoides",205,"","10/08/2018","Ale_200trees"
"Sapium sebiferum",206,"","10/08/2018","Ale_200trees"
"Celtis australis",207,"","10/08/2018","Ale_200trees"
"Cupressus sempervirens",208,"Yes","13/08/2018","Ale_200trees"
"Photinia glabra",209,"Yes","13/08/2018","Ale_200trees"
"Acacia baileyana",210,"Yes","13/08/2018","Ale_200trees"
"Pyrus ussuriensis",211,"Yes","13/08/2018","Ale_200trees"
"Cupressocyparis leylandii Leightons Green",212,"Yes","13/08/2018","Ale_200trees"
"Nerium oleander",213,"Yes","15/08/2018","Ale_200trees"
"Eucalyptus torquata",214,"","15/08/2018","Ale_200trees"
"Eucalyptus tricarpa",215,"","15/08/2018","Ale_200trees"
"Casuarina equisetifolia",216,"","15/08/2018","Ale_200trees"
"Eucalyptus gomphocephala",217,"","15/08/2018","Ale_200trees"
"Metrosideros excelsa",218,"Yes","15/08/2018","Ale_200trees"
"Eucalyptus goniocalyx",219,"","15/08/2018","Ale_200trees"
"Melaleuca nesophila",220,"Yes","15/08/2018","Ale_200trees"
"Eucalyptus spathulata",221,"","15/08/2018","Ale_200trees"
"Syzygium australe",222,"Yes","15/08/2018","Ale_200trees"
"Acer freemanii Autumn Blaze",223,"Yes","15/08/2018","Ale_200trees"
"Ulmus glabra Lutescens",224,"Yes","15/08/2018","Ale_200trees"
"Acacia dealbata",225,"","16/08/2018","Ale_200trees"
"Prunus serrulata",226,"Yes","17/08/2018","Ale_200trees"
"Eucalyptus ovata",227,"","17/08/2018","Ale_200trees"
"Melaleuca rhaphiophylla",228,"","17/08/2018","Ale_200trees"
"Acer rubrum",229,"Yes","20/08/2018","Ale_200trees"
"Eucalyptus globulus",230,"","20/08/2018","Ale_200trees"
"Melaleuca lanceolata",231,"","20/08/2018","Ale_200trees"
"Leptospermum laevigatum",232,"","20/08/2018","Ale_200trees"
"Corymbia eximia",233,"Yes","20/08/2018","Ale_200trees"
"Acacia floribunda",234,"Yes","20/08/2018","Ale_200trees"
"Eucalyptus rudis",235,"","21/08/2018","Ale_200trees"
"Banksia marginata",236,"Yes","21/08/2018","Ale_200trees"
"Corymbia calophylla",237,"","21/08/2018","Ale_200trees"
"Casuarina obesa",238,"","21/08/2018","Ale_200trees"
"Cedrus deodara",239,"","22/08/2018","Ale_200trees"
"Malus ioensis Plena",240,"Yes","22/08/2018","Ale_200trees"
"Bursaria spinosa",241,"","22/08/2018","Ale_200trees"
"Eucalyptus saligna",242,"","22/08/2018","Ale_200trees"
"Eucalyptus microcorys",243,"","22/08/2018","Ale_200trees"
"Washingtonia robusta",244,"","22/08/2018","Ale_200trees"
"Fraxinus ornus",245,"Yes","22/08/2018","Ale_200trees"
"Cupressus torulosa",246,"","23/08/2018","Ale_200trees"
"Melaleuca ericifolia",247,"","24/08/2018","Ale_200trees"
"Peltophorum pterocarpum",248,"","24/08/2018","Ale_200trees"
"Washingtonia filifera",249,"","24/08/2018","Ale_200trees"
"Acer buergerianum",250,"","24/08/2018","Ale_200trees"
"Eucalyptus cinerea",251,"","24/08/2018","Ale_200trees"
"Eucalyptus largiflorens",252,"","24/08/2018","Ale_200trees"
"Ficus rubiginosa",253,"","24/08/2018","Ale_200trees"
"Eucalyptus obliqua",254,"","24/08/2018","Ale_200trees"
"Ficus benjamina",255,"Yes","24/08/2018","Ale_200trees"
"Wodyetia bifurcata",256,"","24/08/2018","Ale_200trees"
"Acacia retinodes",257,"","24/08/2018","Ale_200trees"
"Syzygium paniculatum",258,"Yes","24/08/2018","Ale_200trees"
"Acacia iteaphylla",259,"Yes","24/08/2018","Ale_200trees"
"Syzygium smithii",260,"Yes","24/08/2018","Ale_200trees"
"Eucalyptus occidentalis",261,"","27/08/2018","Ale_200trees"
"Populus simonii",262,"Yes","27/08/2018","Ale_200trees"
"Eucalyptus bicostata",263,"","27/08/2018","Ale_200trees"
"Eucalyptus macrandra",264,"","27/08/2018","Ale_200trees"
"Eucalyptus pulchella",265,"","27/08/2018","Ale_200trees"
"Ginkgo biloba",266,"Yes","27/08/2018","Ale_200trees"
"Eucalyptus caesia",267,"Yes","27/08/2018","Ale_200trees"
"Acer platanoides",268,"Yes","27/08/2018","Ale_200trees"
"Thuja occidentalis Smaragd",269,"","5/2/2019","Scrape"
"Acacia longifolia",270,"","28/08/2018","Ale_200trees"
"Acacia pendula",271,"","28/08/2018","Ale_200trees"
"Caesalpinia ferrea",272,"","28/08/2018","Ale_200trees"
"Cocos nucifera",273,"Yes","28/08/2018","Ale_200trees"
"Eucalyptus forrestiana",274,"","29/08/2018","Ale_200trees"
"Angophora floribunda",275,"","29/08/2018","Ale_200trees"
"Eucalyptus radiata",276,"","29/08/2018","Ale_200trees"
"Eucalyptus blakelyi",277,"","29/08/2018","Ale_200trees"
"Acacia salicina",278,"","29/08/2018","Ale_200trees"
"Callistemon pallidus",279,"Yes","29/08/2018","Ale_200trees"
"Coprosma repens Evening Glow",280,"Yes","29/08/2018","Ale_200trees"
"Acer palmatum",281,"","29/08/2018","Ale_200trees"
"Eucalyptus platypus",282,"","29/08/2018","Ale_200trees"
"Eucalyptus macrorhyncha",283,"","30/08/2018","Ale_200trees"
"Eucalyptus conferruminata",284,"","30/08/2018","Ale_200trees"
"Acer campestre",285,"Yes","30/08/2018","Ale_200trees"
"Eucalyptus elata",286,"","30/08/2018","Ale_200trees"
"Callistemon subulatus",287,"Yes","30/08/2018","Ale_200trees"
"Quercus rubra",288,"","30/08/2018","Ale_200trees"
"Roystonea regia",289,"","30/08/2018","Ale_200trees"
"Flindersia schottiana",290,"","30/08/2018","Ale_200trees"
"Cedrus atlantica Glauca",291,"","14/2/2019","Scrape"
"Salix babylonica",292,"","30/08/2018","Ale_200trees"
"Syzygium tierneyanum",293,"","31/08/2018","Ale_200trees"
"Alnus jorullensis",294,"","31/08/2018","Ale_200trees"
"Tipuana tipu",295,"","31/08/2018","Ale_200trees"
"Araucaria columnaris",296,"","31/08/2018","Ale_200trees"
"Schinus areira",297,"","31/08/2018","Ale_200trees"
"Eucalyptus grandis",298,"","31/08/2018","Ale_200trees"
"Cercis siliquastrum",299,"Yes","31/08/2018","Ale_200trees"
"Lophostemon suaveolens",300,"","31/08/2018","Ale_200trees"
"Afrocarpus falcatus",301,"","3/09/2018","Tims_list"
"Betula Nigra",302,"Yes","3/09/2018","Tims_list"
"Photinia robusta",303,"","3/09/2018","Tims_list"
"Podocarpus totara",304,"","3/09/2018","Tims_list"
"Tabebuia palmerii",305,"","3/09/2018","Tims_list"
"Melicope micrococca",306,"","3/09/2018","Tims_list"
"Pararchidendron pruinosum",307,"","4/09/2018","Tims_list"
"Stenocarpus salignus",308,"","4/09/2018","Tims_list"
"Acronychia imperforata",309,"","4/09/2018","Tims_list"
"Auranticarpa rhombifolia",310,"","4/09/2018","Tims_list"
"Pittosporum revolutum",311,"","4/09/2018","Tims_list"
"Eupomatia laurina",312,"","4/09/2018","Tims_list"
"Guioa semiglauca",313,"","4/09/2018","Tims_list"
"Myrsine variabilis",314,"","4/09/2018","Tims_list"
"Synoum glandulosum",315,"","4/09/2018","Tims_list"
"Notelaea longifolia",316,"","4/09/2018","Tims_list"
"Pittosporum angustifolium",317,"Yes","5/09/2018","Tims_list"
"Alstonia scholaris",318,"","5/09/2018","Nikkis_list"
"Correa reflexa",319,"Yes","5/09/2018","Nikkis_list"
"Dianella longifolia",320,"","5/09/2018","Nikkis_list"
"Eremophila bignoniiflora",321,"","5/09/2018","Nikkis_list"
"Erythrina vespertilio",322,"","5/09/2018","Nikkis_list"
"Eucalyptus populnea",323,"","5/09/2018","Nikkis_list"
"Eucryphia lucida",324,"Yes","5/09/2018","Nikkis_list"
"Goodenia ovata",325,"Yes","5/09/2018","Nikkis_list"
"Nematolepis squamea",326,"","5/09/2018","Nikkis_list"
"Notelaea microcarpa",327,"","5/09/2018","Nikkis_list"
"Pittosporum bicolor",328,"","5/09/2018","Nikkis_list"
"Zieria smithii",329,"","5/09/2018","Nikkis_list"
"Ajuga Reptans",330,"Yes","5/09/2018","Nikkis_list"
"Arbutus unedo",331,"","5/09/2018","Nikkis_list"
"Nandina domestica",332,"Yes","5/09/2018","Nikkis_list"
"Ophiopogon japonicus",333,"Yes","6/09/2018","Nikkis_list"
"Quercus ilex",334,"","6/09/2018","Nikkis_list"
"Stachys byzantina",335,"Yes","6/09/2018","Nikkis_list"
"Tulbaghia violacea",336,"","6/09/2018","Nikkis_list"
"Xylosma congestum",337,"","6/09/2018","Nikkis_list"
"Acronychia oblongifolia",338,"","7/09/2018","Tims_list"
"Pomaderris aspera",339,"","7/09/2018","Nikkis_list"
"Handroanthus chrysotrichus",340,"","7/09/2018","Nikkis_list"
"Cryptocarya laevigata",341,"","7/09/2018","Glasshouse"
"Correa pulchella",342,"","30/1/2019","Scrape"
"Melastoma affine",343,"Yes","7/09/2018","Maps_Hugh"
"Cryptocarya mackinnoniana",344,"","7/09/2018","Maps_Hugh"
"Toechima erythrocarpum",345,"","7/09/2018","Maps_Hugh"
"Corymbia torelliana",346,"","7/09/2018","Ale_200trees"
"Eucalyptus astringens",347,"","7/09/2018","Ale_200trees"
"Eucalyptus marginata",348,"","7/09/2018","Ale_200trees"
"Flindersia brayleyana",349,"","7/09/2018","Ale_200trees"
"Abies balsamea",350,"","18/09/2018","Kendallslist"
"Abies concolor",351,"","18/09/2018","Kendallslist"
"Abies grandis",352,"","18/09/2018","Kendallslist"
"Acacia howittii",353,"Yes","18/09/2018","Kendallslist"
"Acacia podalyriifolia",354,"","18/09/2018","Kendallslist"
"Acacia pravissima",355,"Yes","19/09/2018","Kendallslist"
"Acer macrophyllum",356,"","19/09/2018","Kendallslist"
"Acer pensylvanicum",357,"","19/09/2018","Kendallslist"
"Acer saccharinum",358,"","14/2/2019","Scrape"
"Acer saccharum",359,"","14/2/2019","Scrape"
"Aesculus glabra",360,"","19/09/2018","Kendallslist"
"Ailanthus altissima",361,"","19/09/2018","Kendallslist"
"Alnus glutinosa",362,"","14/2/2019","Scrape"
"Alnus rubra",363,"","20/09/2018","Kendallslist"
"Amelanchier arborea",364,"","20/09/2018","Kendallslist"
"Amelanchier canadensis",365,"","14/2/2019","Scrape"
"Aralia spinosa",366,"","20/09/2018","Kendallslist"
"Betula papyrifera",367,"","20/09/2018","Kendallslist"
"Betula populifolia",368,"","20/09/2018","Kendallslist"
"Calocedrus decurrens",369,"","14/2/2019","Scrape"
"Carya illinoinensis",370,"","14/2/2019","Scrape"
"Carpinus caroliniana",371,"","20/09/2018","Kendallslist"
"Carya ovata",372,"","20/09/2018","Kendallslist"
"Castanea sativa",373,"","14/2/2019","Scrape"
"Castanea dentata",374,"","20/09/2018","Kendallslist"
"Catalpa bignonioides",375,"","12/2/2019","Scrape"
"Celtis occidentalis",376,"","14/2/2019","Scrape"
"Chamaecyparis lawsoniana",377,"","14/2/2019","Scrape"
"Cercis canadensis Forest Pansy",378,"Yes","25/09/2018","Kendallslist"
"Cornus florida",379,"","5/2/2019","Scrape"
"Cupressus nootkatensis",380,"Yes","25/09/2018","Kendallslist"
"Cladrastis kentukea",381,"Yes","26/09/2018","Kendallslist"
"Cornus racemosa",382,"","26/09/2018","Kendallslist"
"Cupressus arizonica",383,"","19/2/2019","Scrape"
"Crataegus douglasii",384,"","28/09/2018","Kendallslist"
"Dodonaea viscosa",385,"","5/2/2019","Scrape"
"Diospyros virginiana",386,"","2/10/2018","Kendallslist"
"Fagus grandifolia",387,"","14/2/2019","Scrape"
"Dypsis lutescens",388,"","2/10/2018","Kendallslist"
"Fagus sylvatica",389,"","5/2/2019","Scrape"
"Fraxinus americana",390,"","12/2/2019","Scrape"
"Fraxinus nigra",391,"","3/10/2018","Kendallslist"
"Fraxinus uhdei",392,"","3/10/2018","Kendallslist"
"Fraxinus velutina",393,"","3/10/2018","Kendallslist"
"Ilex opaca",394,"Yes","3/10/2018","Kendallslist"
"Juglans nigra",395,"","14/2/2019","Scrape"
"Juglans cinerea",396,"","3/10/2018","Kendallslist"
"Juniperus communis",397,"Yes","4/10/2018","Kendallslist"
"Juniperus virginiana",398,"","14/2/2019","Scrape"
"Juniperus scopulorum",399,"Yes","4/10/2018","Kendallslist"
"Larix decidua",400,"","12/2/2019","Scrape"
"Leptospermum scoparium",401,"","30/1/2019","Scrape"
"Maclura pomifera",402,"Yes","5/10/2018","Kendallslist"
"Magnolia acuminata",403,"Yes","5/10/2018","Kendallslist"
"Magnolia virginiana",404,"Yes","5/10/2018","Kendallslist"
"Melaleuca incana",405,"","30/1/2019","Scrape"
"Malus sylvestris",406,"","5/10/2018","Kendallslist"
"Melaleuca quinquenervia",407,"","14/2/2019","Scrape"
"Morus alba",408,"","14/2/2019","Scrape"
"Morus nigra",409,"","30/1/2019","Scrape"
"Nyssa sylvatica",410,"","14/2/2019","Scrape"
"Ostrya virginiana",411,"","8/10/2018","Kendallslist"
"Oxydendrum arboreum",412,"","8/10/2018","Kendallslist"
"Abelia chinensis",413,"","14/2/2019","Scrape"
"Abelia engleriana",414,"","14/2/2019","Scrape"
"Abelia floribunda",415,"","14/2/2019","Scrape"
"Abelia x grandiflora Francis Mason",416,"","12/2/2019","Scrape"
"Abelia grandiflora",417,"","30/1/2019","Scrape"
"Abelia  grandiflora",418,"","30/1/2019","Scrape"
"Abelia mosanensis",419,"","14/2/2019","Scrape"
"Abelia schumannii",420,"","14/2/2019","Scrape"
"Abelia x grandiflora",421,"","5/2/2019","Scrape"
"Abelmoschus esculentus",422,"","14/2/2019","Scrape"
"Abies firma",423,"","14/2/2019","Scrape"
"Abies homolepis",424,"","14/2/2019","Scrape"
"Abies koreana",425,"","14/2/2019","Scrape"
"Abies nordmanniana",426,"","14/2/2019","Scrape"
"Abies veitchii",427,"","14/2/2019","Scrape"
"Abrus precatorius",428,"","14/2/2019","Scrape"
"Abutilon fraseri",429,"","14/2/2019","Scrape"
"Abutilon hybridum",430,"","14/2/2019","Scrape"
