"","value","Trait","species"
"51","Apply a slow-release native plant fertiliser when planting and annually as required in the spring months.","Fertiliser","Dodonaea ceratocarpa"
"52","This species is rarely susceptible to pests or diseases but scale and mealy-bug may cause minor issues.","Pests and diseases","Dodonaea ceratocarpa"
"53","Early settlers used the winged fruits of some Dodonaea species as a substitute for hops when brewing beer and this gave rise to the","Miscellaneous","Dodonaea ceratocarpa"
"54","Horny Hop-Bush","common name","Dodonaea ceratocarpa"
"55","This profusely flowering, quick-growing groundcover forms plants to a height of 30 mm and a width of 0.6 m. It is most suitable for rockeries, hanging baskets, mass planting and as a substitute for ornamental annuals, e.g. petunias. Purple Fanfare is a must for every home garden.","Description","Scaevola aemula ’Purple Fanfare’"
"56","The five-petalled mauve/purple flowers of the plants are most abundant during the early summer months. However, it is possible to maintain flowering all year round.","Flowers","Scaevola aemula ’Purple Fanfare’"
"57","Purple Fanfare can be grown in a range of well-drained soils but is ideally suited to coastal planting as this is its natural habitat. It is best planted during the winter months and grown in full sun, although it will tolerate partial shade.","Growing conditions","Scaevola aemula ’Purple Fanfare’"
"58","To maximise display, this Scaevola appreciates being watered twice a week at the base of the plant. Open mulch will help to conserve moisture.","Watering","Scaevola aemula ’Purple Fanfare’"
"59","Light, regular pruning is the key to getting the best out of the species.","Pruning","Scaevola aemula ’Purple Fanfare’"
"60","Apply slow release native blend 8–9 month fertiliser at planting and annually as required in spring.","Fertiliser","Scaevola aemula ’Purple Fanfare’"
"61","Purple Fanfare can be susceptible to scale, mealybugs and a botrytis fungal mould, although these are not common when it is grown in appropriate conditions.","Pests and diseases","Scaevola aemula ’Purple Fanfare’"
"62","This plant is relatively short- lived with best results achieved in its first year, although it may live longer in optimum conditions. If vigour is lost, as tends to happen over the winter months, it is best to remove and replace plants.","Miscellaneous","Scaevola aemula ’Purple Fanfare’"
"63","Fairy Fan-Flower","common name","Scaevola aemula ’Purple Fanfare’"
"64","This strappy-leaved, herbaceous perennial is a hybrid between Anigozanthos flavidus and Anigozanthos rufus. The plant grows to approximately 0.6 m high with flower spikes reaching up to 2 m. Plant en masse as a single colour or mix with a range of varying colour forms of Kangaroo Paw hybrids.","Description","Anigozanthos hybrid ‘Big Red’"
"65","The large, bright red flowers are displayed at the ends of the long upright spikes in late spring/early summer.","Flowers","Anigozanthos hybrid ‘Big Red’"
"66","This plant thrives in all soil types but it is important that the site is free-draining and in full sun. Big Red is best planted in the autumn and winter months.","Growing conditions","Anigozanthos hybrid ‘Big Red’"
"67","Once established, it needs little water but for optimum floral display it is best watered twice a week. When watering take care not to allow too much water to remain on the leaves. Open mulch will help to conserve moisture.","Watering","Anigozanthos hybrid ‘Big Red’"
"68","Cut flowering stems to their base as they finish flowering each year. Every second or third year prune the entire plant to ground level in early autumn, to maintain health and vigour.","Pruning","Anigozanthos hybrid ‘Big Red’"
"69","Apply slow release native blend 8–9 month fertiliser at time of planting and annually.","Fertiliser","Anigozanthos hybrid ‘Big Red’"
"70","This hardy hybrid will withstand most pests providing vigour is maintained.","Pests and diseases","Anigozanthos hybrid ‘Big Red’"
"71","If you have a small backyard, this species can also be planted as a single specimen or grown in a large container. These plants are best replaced after 5 years.","Miscellaneous","Anigozanthos hybrid ‘Big Red’"
"72","Kangaroo Paw Hybrid","common name","Anigozanthos hybrid ‘Big Red’"
"73","This kangaroo paw is a strappy-leaved plant like its relatives. A well-grown specimen can reach a height of 80 cm. Mass planted with other kangaroo paws they make an excellent display, and honey eaters will be particularly pleased.","Description","‘Kings Park Federation Flame’"
"74","Flowering time is late spring to early summer. Flowers can vary from a russet colour to a deep burgundy. Each flower is ‘velvety’ in texture.","Flowers","‘Kings Park Federation Flame’"
"75","Anigozanthos rufus is an adaptable plant and will grow well in most soils, but prefers sand.","Growing conditions","‘Kings Park Federation Flame’"
"76","Water in well at time of planting and monitor its water needs carefully for the first winter and summer. After this, ensure it has moisture during extended dry periods.","Watering","‘Kings Park Federation Flame’"
"77","When flowering has finished, cut the flower stalks right off but do not cut the foliage.","Pruning","‘Kings Park Federation Flame’"
"78","Apply a slow-release native plant fertiliser at planting and annually in autumn.","Fertiliser","‘Kings Park Federation Flame’"
"79","Healthy plants should not be troubled by any pests or diseases.","Pests and diseases","‘Kings Park Federation Flame’"
"80","Anigozanthos rufus ‘Kings Park Federation Flame’ is a colour form specially selected by the Kings Park Plant Breeding team for landscape planting in celebration of the Centenary of Federation of Australia in 2001. ","Miscellaneous","‘Kings Park Federation Flame’"
"81","Anigozanthos rufus","common name","‘Kings Park Federation Flame’"
"82","These grey-foliaged, strappy-leaved plants have a compact habit to 0.4 m by 0.3 m and can last in your garden for up to 5 years. They are best replaced at this interval to maintain a healthy display.","Description","Conostylis candicans"
"83","Bright yellow flowers appear in spring on terminal heads. The flowers provide a good contrast to the grey foliage.","Flowers","Conostylis candicans"
"84","This coast-lover is a must for all home gardens provided the soil is free draining, especially for situations that have coastal influences. The Grey Cottonhead is best planted in autumn and winter months in a sunny position.","Growing conditions","Conostylis candicans"
"85","Once established, the Grey Cottonhead requires little water but for optimum floral display, it is best watered once a week at the base of the plant. Open mulch will help to conserve moisture.","Watering","Conostylis candicans"
"86","Remove old flower spikes and any dying foliage to encourage the plants to remain vigorous. They can also be pruned to ground level to restore vigour.","Pruning","Conostylis candicans"
"87","Apply slow release native blend 8–9 month fertiliser at time of planting and annually as required in the spring months.","Fertiliser","Conostylis candicans"
"88","These plants are very hardy but sometimes they are susceptible to mealybugs.","Pests and diseases","Conostylis candicans"
"89","Plant them as a border, or en masse to create a grassland appearance. They are also suitable for growing in a large pot.","Miscellaneous","Conostylis candicans"
"90","Grey Cottonhead","common name","Conostylis candicans"
"91","This is a fast-growing plant and it can establish itself throughout your garden as it is a prolific seeder. Growing to a height of 1 m and spreading to 0.8 m, there are various forms of this species with some being more upright than others. It has fine, bright green rush-like foliage.","Description","Ficinia nodosa"
"92","The flowers themselves are insignificant but this monocotyledon forms attractive globular seed heads 1.5 cm across towards the tips of the foliage. Flowering occurs mid-spring to early summer.","Flowers","Ficinia nodosa"
"93","This adaptable rush will tolerate damp feet, but does grow successfully in all soil types, especially for situations that have coastal influences. Plant in autumn and winter months in a sunny or partly-shaded position.","Growing conditions","Ficinia nodosa"
"94","Once established, this species is drought tolerant. If necessary during long periods of hot weather it may be watered up to twice a week using sub-surface irrigation. Open mulch will help to conserve moisture.","Watering","Ficinia nodosa"
"95","To maintain vigour and a healthy appearance prune back to ground level whenever the plant becomes overgrown or loses its shape and form.","Pruning","Ficinia nodosa"
"96","Apply slow release native blend 8–9 month fertiliser at time of planting and after pruning.","Fertiliser","Ficinia nodosa"
"97","This hardy plant has no known pests and diseases (except kangaroos and rabbits).","Pests and diseases","Ficinia nodosa"
"98","It is excellent around water features and also suitable for mass plantings. Grow in full sun or as an under-storey. For any problem spots in your garden where nothing seems to grow or to restrict access to parts of your property, this plant is worth a try as it is so hardy.","Miscellaneous","Ficinia nodosa"
"99","Knotted Club Rush","common name","Ficinia nodosa"
"100","Acacia glaucoptera is an attractive small shrub with a rounded, spreading habit growing to approximately 1.5 m high and 2–3 m wide. Instead of leaves this species has modified leaf stalks (phyllodes) that perform all the functions of leaves. This unusual Acacia variety is grown for its striking blue-green wing-like foliage, with new growth showing purple-red.","Description","Acacia glaucoptera"
"101","From late winter to early summer golden-yellow globular flowers grow close to and along the stems.","Flowers","Acacia glaucoptera"
"102","Flat Wattle, also known as Clay Wattle, grows naturally in clay and gravelly lateritic soils. It should be planted in a sunny or partly-shaded position in soils that are well drained. Autumn and winter months are the best times to plant this wattle.","Growing conditions","Acacia glaucoptera"
"103","Once established, little water is required. Mulching around the root zone area will conserve moisture.","Watering","Acacia glaucoptera"
"104","The appearance of Acacia glaucoptera can be marred by dead wood. Light pruning after flowering may be beneficial, especially the removal of any dead or dying branches.","Pruning","Acacia glaucoptera"
"105","Apply slow-release native plant fertiliser at the time of planting and annually as required in the spring months.","Fertiliser","Acacia glaucoptera"
"106","In the home garden, this species is rarely susceptible to pests or diseases.","Pests and diseases","Acacia glaucoptera"
"107","Acacia glaucoptera has been found growing in the Avon Wheatbelt, Esperance Plains, Jarrah Forest and Mallee regions of the South West of WA. ","Miscellaneous","Acacia glaucoptera"
"108","Flat Wattle","common name","Acacia glaucoptera"
"109","This dwarf form of Banksia ashbyi can reach a height of 1.5 m and a width of 1.5 m, forming a dense, low rounded shrub with showy blooms above the foliage.","Description","Banksia ashbyi subsp. boreoscaia"
"110","It flowers in winter to spring and provides nectar for native fauna. The flower spikes are especially spectacular as they are an intense orange, 15 cm in length by 10 cm diameter.","Flowers","Banksia ashbyi subsp. boreoscaia"
"111","Ashby’s Banksia tolerates most soils providing there is good drainage. Choose a sunny spot and plant in autumn.","Growing conditions","Banksia ashbyi subsp. boreoscaia"
"112","Once established after its first year in the ground it is very hardy and should need no summer watering.","Watering","Banksia ashbyi subsp. boreoscaia"
"113","Banksias usually respond well to careful pruning. Prune early to create a multi- branched shrub. If you do not want to collect seed, harvesting the flower stems for cut flower display or removing spent flower spikes will stimulate the following season’s flowering.","Pruning","Banksia ashbyi subsp. boreoscaia"
"114","Apply a slow-release native plant fertiliser at time of planting and annually as required in the spring months.","Fertiliser","Banksia ashbyi subsp. boreoscaia"
"115","This plant is vulnerable to borers in major stems and small growing tips. It is also susceptible to dieback (the soil-borne fungus Phytophthora cinnamomi and other Phytophthora species), so good drainage is essential.","Pests and diseases","Banksia ashbyi subsp. boreoscaia"
"116","Many roots are close to the surface and it is therefore advisable to avoid disturbance of soil near the plant. ","Miscellaneous","Banksia ashbyi subsp. boreoscaia"
"117","Ashby’s Banksia (dwarf form)","common name","Banksia ashbyi subsp. boreoscaia"
"118","Boronia crenulata is a dense, small shrub growing up to 1 m high. It is an ornamental species that is suitable for growing in the garden or in a medium-sized pot. It produces masses of pink flowers.","Description","Boronia crenulata"
"119","Short thick stalks bear pink star-shaped flowers about 15 mm wide from May to December or January–February.","Flowers","Boronia crenulata"
"120","Boronia crenulata will grow in a range of soils in dappled shade to part-sun. It needs well-drained soil with plenty of humus that does not dry out readily. Choose a sheltered site to protect the plant from hot afternoon sun in summer.","Growing conditions","Boronia crenulata"
"121","Water Boronia crenulata in well at time of planting and monitor its water needs ensuring it neither dries out nor becomes water-logged. To help the plant stay moist, mulch the area well. Additional moisture may be required when the plant is coming into bud and bloom, particularly if dry weather prevails through late winter.","Watering","Boronia crenulata"
"122","Prune lightly after flowering to encourage new growth.","Pruning","Boronia crenulata"
"123","Apply a slow-release native plant fertiliser at the time of planting then annually after pruning.","Fertiliser","Boronia crenulata"
"124","This species is rarely susceptible to pests or diseases but scale and mealy-bug may cause minor issues.","Pests and diseases","Boronia crenulata"
"125","The common name of Aniseed Boronia Miscellaneous information","Miscellaneous","Boronia crenulata"
"126","Aniseed Boronia","common name","Boronia crenulata"
"127","Chorizema cordatum can be somewhat straggly in habit, reaching 1.5 m in height but usually less in cultivation. It benefits from having close neighbours that can support its branches. The foliage is attractive. It has longish leaves with wavy margins that are slightly prickly. It is not a long-lived plant but given conditions to its liking makes a magnificent floral display and will probably set seed.","Description","Chorizema cordatum"
"128","Flowers may appear anytime from July onwards into late spring. They have a ‘standard’ petal that in this case is orange. The other petals are a striking pinky- red. The combination of colours is unusual and very attractive. Flowers are 10–15 mm wide.","Flowers","Chorizema cordatum"
"129","This Chorizema is found in most of the wetter parts of the south-west region. It does not mind damp conditions but not water-logged, so soil should be free draining. It tolerates full sun if well mulched in summer, but performs very well in the shade. Planting time, as for most plants, is after the soil has cooled down a little and there is the prospect of autumn and winter rains.","Growing conditions","Chorizema cordatum"
"130","Always ensure that the plant has adequate water while it is establishing itself. Plants obtained from nurseries and garden centres do not initially have the same resilience as those that have grown naturally in the bush. For the first summer they will require supplementary watering.","Watering","Chorizema cordatum"
"131","Pinching out the growing tips from an early age is advisable to establish a good bushy habit. Plants may be lightly pruned after flowering but if the seeds are to be collected pruning should be delayed until seeds have been harvested.","Pruning","Chorizema cordatum"
"132","Apply a slow-release native plant fertiliser sparingly at planting time, when buds appear and after flowering.","Fertiliser","Chorizema cordatum"
"133","The plant may be attacked by woolly bear caterpillars and slaters in some gardens but is generally not susceptible to pests and diseases.","Pests and diseases","Chorizema cordatum"
"134","Cordatum refers to the heart-shaped leaves. ","Miscellaneous","Chorizema cordatum"
"135","Heart-leaf Flame Pea","common name","Chorizema cordatum"
"136","Grevillea drummondii is a spreading, dense shrub growing to a height of 0.3–1.0 m. Its flower clusters hang at the ends of short branchlets, surrounded by small, thick leaves. It is classed as a priority species for conservation in the wild.","Description","Grevillea drummondii"
"137","The pendant flowers, yellow at first, but ageing to orange with red-tipped styles, are most abundant from June to September.","Flowers","Grevillea drummondii"
"138","In its natural habitat Grevillea drummondii grows in sandy clay, gravel, loam and sand. In cultivation, grow the plant in partial shade and acid to neutral soils that are free-draining. Plant in the autumn or winter months. Once established, the plants are tolerant of drought conditions and light frost.","Growing conditions","Grevillea drummondii"
"139","Water well at planting time and monitor soil moisture until the next winter. Give a deep watering twice a week during the first summer and autumn. Thereafter, it should not be necessary to give extra water unless there is a prolonged dry spell. Water only at roots, not overhead.","Watering","Grevillea drummondii"
"140","Light tip pruning during establishment will help develop good form. Prune lightly after flowering to maintain the desired form and to promote new growth.","Pruning","Grevillea drummondii"
"141","Apply slow-release, native-blend fertiliser at time of planting and annually as required in the spring months.","Fertiliser","Grevillea drummondii"
"142","Grevilleas in general may be susceptible to ‘dieback’ (the soil- borne disease caused by the organism Phytophthora cinnamomi). The best means of minimising the possibility of infection is to source plants from registered suppliers and to plant in free-draining soil.","Pests and diseases","Grevillea drummondii"
"143","This grevillea species is named for James Drummond, the first government naturalist in Western Australia. After assisting the early settlers with the establishment of food crops, Drummond travelled widely, collecting specimens of the State’s unique flora.","Miscellaneous","Grevillea drummondii"
"144","Drummond’s Grevillea","common name","Grevillea drummondii"
"145","Grevillea eriostachya is a bushy, upright shrub some 1.5 m by 1.5 m with long, thin, grey-green leaves. It sends up tall leafless branches capped with spectacular yellow flowers of torch-like appearance, giving rise to its common name of Flame Grevillea.","Description","Grevillea eriostachya"
"146","Large, dense racemes of orange-yellow, sticky flowers from 10–30 cm long, are held clear of the foliage throughout the year, peaking in spring.","Flowers","Grevillea eriostachya"
"147","These shrubs tolerate a wide range of free-draining soils. They must be planted in a sunny position. Plant in the autumn and winter months and once established they are tolerant of drought conditions and light frost.","Growing conditions","Grevillea eriostachya"
"148","Water well at planting time and monitor soil moisture until the next winter. If required give a deep watering twice a week during the first summer and autumn. Thereafter, it should not be necessary to give extra water unless there is a prolonged dry spell. Water only at roots, not overhead.","Watering","Grevillea eriostachya"
"149","It is best not to prune off flowering canes as these continue to produce flowers for some years.","Pruning","Grevillea eriostachya"
"150","Apply slow-release, native-blend fertiliser at time of planting and annually as required in the spring months.","Fertiliser","Grevillea eriostachya"
"151","Grevilleas in general may be susceptible to ‘dieback’ (the soil-borne disease caused by the organism Phytophthora cinnamomi). The best means of minimising the possibility of infection is to source plants from registered suppliers and to plant in free-draining soil.","Pests and diseases","Grevillea eriostachya"
"152","The nectar-rich flowers will attract honeyeaters to the garden.","Miscellaneous","Grevillea eriostachya"
"153","Flame Grevillea","common name","Grevillea eriostachya"
"154","This very attractive grevillea with a semi-prostrate layering habit and width of about 1 m is known naturally from only one small area of the south coast of Western Australia. Its survival is threatened in the wild. The foliage is dense and prickly and usually a deep green but some forms are green-grey.","Description","Grevillea maxwellii"
"155","These appear in spring and are a bright orange-red that contrasts well with the foliage, particularly as they are usually prominently displayed. Nectar-seeking birds love this plant during its flowering season and are constant visitors to it.","Flowers","Grevillea maxwellii"
"156","G. maxwellii grows naturally in loamy soils and in the garden would prefer an acidic to neutral soil in a sunny, well-drained site. If soil is very alkaline it can be grown and displayed very well in large tubs. Plant when winter rains are near and keep moist until established. It can withstand light frosts and dry periods.","Growing conditions","Grevillea maxwellii"
"157","Once the plant has settled in, watering should not be necessary as long as there is soil moisture available during prolonged dry weather. An open mulch assists in conserving soil moisture in summer. Water only at roots, not overhead.","Watering","Grevillea maxwellii"
"158","The only pruning necessary for this plant would be in the interests of tidiness as it is naturally compact.","Pruning","Grevillea maxwellii"
"159","Apply slow-release, native-blend fertiliser at time of planting and annually as required in the spring months.","Fertiliser","Grevillea maxwellii"
"160","Grevilleas in general may be susceptible to ‘dieback’ (the soil- borne disease caused by the organism Phytophthora cinnamomi). The best means of minimising the possibility of infection is to source plants from registered suppliers and to plant in free-draining soil.","Pests and diseases","Grevillea maxwellii"
"161","This is an ideal plant for growing as a feature in rockeries. It is named after George Maxwell, who collected many specimens from the south coast in collaboration with James Drummond, the first government naturalist in Western Australia.","Miscellaneous","Grevillea maxwellii"
"162","Maxwell’s Grevillea","common name","Grevillea maxwellii"
"163","In the wild this grevillea has a number of forms all confined to the west coastal areas of Western Australia between Lancelin and Bunbury. It has attractive dark-green foliage and develops into a rounded shrub with a height of about 60 cm. It makes a good specimen shrub for a large pot and is an ideal general garden plant.","Description","Grevillea preissii"
"164","The conspicuous and profuse inflorescences with their bright red flowers create a pleasing contrast with the foliage. Flowering is for a long period from about May to September.","Flowers","Grevillea preissii"
"165","A position in full sun is best for this easy-to-grow plant. It is lime tolerant and suitable for growing in the coastal suburbs (although perhaps not fully exposed to strong sea winds). It can also be grown in neutral soils in deep sand but it must have good drainage. Lightly-shaded sites can be tolerated as can the occasional frost.","Growing conditions","Grevillea preissii"
"166","Establish the plant by watering well initially and ensuring that until established it does not dry out, after which it should not require watering except in very prolonged dry summer spells. Water only at roots, not overhead. An open mulch in summer is also recommended.","Watering","Grevillea preissii"
"167","In general, these plants are best tip-pruned regularly to maintain the desired form. It can tolerate more severe pruning if required.","Pruning","Grevillea preissii"
"168","Apply slow-release, native-blend fertiliser at time of planting and annually as required in the spring months.","Fertiliser","Grevillea preissii"
"169","Grevilleas in general may be susceptible to ‘dieback’ (the soil-borne disease caused by the organism Phytophthora cinnamomi). The best means of minimising the possibility of infection is to source plants from registered suppliers and to plant in free-draining soil.","Pests and diseases","Grevillea preissii"
"170","Try clipping it as a low flowering hedge.","Miscellaneous","Grevillea preissii"
"171","Spider Net Grevillea","common name","Grevillea preissii"
"172","This grevillea is a native of the south-east coast of Western Australia, growing on sand dunes or in woodland. It is a low shrub, 50 cm to 1 m in height and up to 1 m in width with dense greyish-green foliage. The leaves appear narrower than they actually are because the edges of each leaf are folded under.","Description","Grevillea sparsiflora"
"173","Flowers appear from winter to spring. They are in shades of pink through to orange- red, somewhat hidden within the foliage but making an excellent contrast to it.","Flowers","Grevillea sparsiflora"
"174","G. sparsiflora requires a free-draining alkaline to neutral soil in full sun. It should tolerate some frosts and extended dry spells once established in the garden.","Growing conditions","Grevillea sparsiflora"
